name,count,distinct,distinct_perc,min,max,avg,median,stddev_samp
URLs,165366,155254,0.9389,17,2081,95.09954887945527,88.0,61.45704514985063
wiki,56862458,42844252,0.7535,1,255,20.175877254549917,15.0,12.26937850361513
