TIME,FIXED_CYCLES,FIXED_INSTRUCTIONS,L1D_CACHE_MISS_ST,L1D_CACHE_MISS_LD,BRANCH_MISPRED_NONSPEC
374082250,476276,1216353,435,1424,1422
375081583,2172564,7653013,2719,40040,9500
376081416,2183613,8868810,586,33495,7151
377081250,2183683,9127708,352,31879,6746
378081416,2184436,9149827,1396,34401,6648
379081291,2183827,9076859,286,34280,6699
380081375,2184228,8489194,551,32131,11043
381081666,2184617,8078057,127,7116,13510
382081708,2196938,7067464,5715,19637,6698
383081666,147634,223309,584,925,643
384081708,2388196,7748853,15921,16940,15499
385081500,2387501,8172838,16187,22724,18071
386081791,669416,2113870,5314,9767,4989
388081500,554826,2864781,4694,4855,352
389081458,2388023,13717358,11337,17077,1218
390081375,2420734,13914609,15086,17986,949
392081458,728517,2313787,2709,6890,2663
392081583,723019,2070030,53766,16841,1601
393081416,1051107,2928998,53311,16499,1759
393081458,829029,2805080,3681,7963,2799
394081375,487693,1599759,1782,4896,1714
394081458,340283,1154322,2040,3366,1143
394081625,171906,550633,916,1862,584
394081750,30042,88350,259,639,48
395081416,90507,144787,16652,475,43
395081541,86835,296114,413,678,300
395081666,330905,1064211,1495,3638,1129
395081833,93774,123113,0,0,0
395082291,77414,129005,310,1094,124
395082541,40283,70226,261,791,140
396081458,138480,462153,827,1693,457
396081625,26729,43931,0,0,0
396082041,24143,60873,408,599,16
396085541,2494,3881,0,0,0
397081291,23028,39693,12,29,8
397081541,24721,23874,0,0,0
397081958,10400,11841,0,0,0
397082250,10305,10908,0,0,0
398081416,418515,1387487,2916,4906,1420
398081541,738805,2115889,53188,15125,1047
398081583,473145,1534550,1273,4030,1618
398081708,788552,2519321,6441,12294,2640
398082458,142012,363767,462,1719,394
399081291,128108,403707,976,1477,439
399081333,252464,847334,1085,2813,867
399081458,204383,304950,0,0,0
400081208,185465,574594,1219,2248,658
400081291,335095,1074462,1420,3333,1080
400081416,383219,1229763,1515,3704,1228
400081583,1294280,3791188,21265,10132,3954
401081375,19902,31859,0,0,0
401081500,15129,40542,470,347,6
401081541,165437,517064,874,1841,593
401081750,2183894,6877362,57155,28143,5959
402081250,9046,20176,5,21,5
402081333,222910,464210,35763,12929,97
402081500,140748,469306,360,1187,542
402081666,146665,194891,9672,2965,16
402082291,86800,205487,231,1214,161
402082333,84046,201647,380,1201,227
402082416,86570,189564,383,1113,176
403081333,13163,30662,177,387,6
403081708,255121,750139,15641,2611,458
403081833,606454,1710458,53225,14326,826
403082083,114097,358185,639,1437,329
404081416,15969,38845,155,394,8
404081750,1283229,3737789,57596,18963,2770
404082125,6228,6395,0,0,0
404082500,829352,2675933,2276,7337,2597
404082541,23166,31844,230,471,86
404082666,21073,22183,0,0,0
405081291,27565,79391,646,802,96
405081375,719230,2335471,2303,7053,2282
405081416,31723,49196,0,0,0
405081500,566974,1805614,19175,4841,1721
406081291,247975,814223,524,1965,774
406081458,312733,869454,36584,13925,404
406081625,123918,406488,785,1609,312
406082041,160846,380817,366,1862,371
406082083,261347,390126,16119,4143,24
406082541,174386,438152,420,1894,461
406082708,166587,390753,512,1929,354
407081291,310511,1013319,1089,2963,1005
407081375,532725,1547408,53732,15159,876
407081416,108122,331163,809,1608,296
407081791,529603,1709437,1966,5666,1641
408081333,61164,191250,506,630,100
408081583,8538,18022,61,115,0
408081750,228069,376013,35236,14501,65
408082000,62858,142130,37,92,19
409081250,94729,303226,195,680,303
409081375,102089,143398,0,0,0
409081875,187235,487548,474,2131,567
409082125,1461,3905,0,0,0
410081375,55071,145849,632,1040,149
410081541,270224,539966,35956,13030,136
410081791,260081,815613,1176,2424,1008
410081958,203950,597778,1416,2108,667
410082416,142423,328425,466,1768,402
411081250,68311,194313,688,1075,166
411081541,406896,1349159,2022,4423,1277
411081666,459302,1472527,2524,6695,1405
411081916,646410,1613418,37709,14760,763
412081291,426923,1435823,1543,4508,1392
412081750,396046,1275691,38554,15288,698
412081875,294446,973999,1780,2937,984
412082125,692565,1668151,45588,14873,742
413081375,149831,490246,899,1500,571
413081666,389105,931324,36214,13657,431
413082166,312000,732819,991,3119,823
413082333,260585,627121,640,2851,463
413082583,288274,734602,1041,3321,693
413082625,377315,1217979,1442,3610,1073
414081291,899907,2660179,53507,17445,1827
414081375,395028,1286560,2004,4468,1349
414081416,784482,2066787,53210,15374,1212
414081500,663856,2083904,2197,5607,1882
415081250,18419,59084,38,100,16
415081458,128888,252180,34735,11210,43
415081708,53768,133839,25,65,14
415081875,21454,25278,0,0,0
415082541,29066,64250,27,363,36
415082666,57724,53350,4372,555,125
415082791,62360,117560,347,954,137
416081291,701042,2252042,2298,6299,2476
416081375,705640,1857826,53471,15805,922
416081750,74434,205433,759,1101,218
416081875,479551,1592133,2683,4079,1753
417081416,1296908,3702640,54453,20063,2740
417081625,1413585,4169188,54572,20798,3351
417081708,1020410,3361952,2923,9782,3184
418081333,364161,1180778,1315,3491,1059
418081500,887101,2502529,53978,16842,1667
418081750,932055,2727336,54315,19854,1930
418081875,886916,2922587,4104,7183,2975
419081333,30489,50764,3115,2604,14
419081500,188493,207943,0,0,0
419081791,78510,177859,33,74,18
419081833,153207,174349,0,0,0
419082208,12540,27535,17,115,12
419082625,8715,11043,16,46,0
420081208,383838,823060,35882,11415,179
420081500,382814,1207200,1681,3772,1247
420081666,632173,1521454,36494,15534,669
420081791,335079,1101001,4300,8068,1039
420082416,272945,685769,874,3010,714
420082625,273894,677418,3726,2724,481
420082708,275149,595893,981,3358,470
421081291,163253,179328,0,0,0
421081416,159549,517649,729,2012,393
421081666,1382687,4318155,55432,21618,3789
421082041,802996,2445272,16709,6679,1885
422081291,176021,583824,1114,1980,635
422081500,949851,3031151,19731,8739,2499
422081708,1035216,3153559,56437,18769,2520
422081833,25935,51970,530,582,86
423081208,64896,217562,357,681,96
423081375,129718,402089,967,1647,392
423081625,129784,408122,920,1540,390
423082125,95123,117185,0,0,0
423082166,56670,127147,228,1037,106
424081625,255653,847421,2163,3080,455
424081750,263011,410419,35401,12403,107
424081916,317131,355060,1168,1027,4
424082041,3680,4038,0,0,0
424082666,194215,232736,14838,1238,103
424082708,191749,482447,438,2193,399
424082833,183897,442788,398,2072,324
425081291,43346,128617,41,134,32
425081458,381908,855170,36561,12959,315
425082000,372795,461864,13576,4280,10
425082083,33516,74725,61,410,22
426081666,178054,594459,911,1448,570
426081791,178720,185878,0,0,0
426082125,1169904,3643544,18435,10963,3394
426082208,1171738,3586127,57072,20662,3012
426083041,564356,1284637,26883,10211,775
426083125,816072,2030932,1931,7976,2142
426083250,813953,2059807,2013,8845,2017
427081291,396018,1316323,2448,3852,1482
427081458,44375,119957,560,988,123
427081708,165375,507354,898,1831,563
428081291,57142,161453,724,987,181
428081375,1033243,3259429,19331,8437,3327
428081416,57260,83979,0,0,0
429081500,140961,438891,1097,1687,537
429081666,43661,138062,598,921,123
429081791,47985,67226,0,0,0
429082041,121311,387237,839,1675,386
430081375,241962,622333,36191,11498,250
430081541,44065,94844,5349,461,20
430081791,1547,3912,0,0,0
430082041,3963,5157,0,0,0
431081291,438493,1434788,1514,4305,1537
431081333,295590,1005257,1536,3317,863
431081416,835199,2064951,53196,15141,996
432081375,416167,1347960,1472,3607,1505
432081416,977496,3053288,55779,18856,2516
432081500,472100,1511620,1649,4277,1676
432081625,304360,1057576,4570,4854,579
433081250,1825009,5954309,20510,15348,5736
433081333,274350,927189,1369,2708,919
433081375,209120,661918,549,2014,732
434081333,470863,1412280,2026,4332,1636
434081500,358596,1056757,11666,3465,574
434081625,699251,1802173,53705,15954,828
434082166,248060,574260,817,2809,642
434082458,264377,809150,17517,2878,669
434082500,235300,321671,31280,10670,32
435081416,249698,733049,17828,2232,480
435081541,397950,1275740,1637,4083,1186
435081791,154125,480490,808,1863,443
435081958,175962,568562,761,1982,470
436081333,962034,3108968,2901,7853,3416
436081416,79247,102573,0,0,0
436082125,47252,109205,167,785,55
436082166,59968,123737,309,1039,122
437081166,59380,176613,511,1090,120
437081416,325849,1095319,1851,3695,949
437081458,1672514,5012146,55506,23428,4072
437081583,454408,799251,35872,13721,176
437082000,43347,114654,65,567,45
438081333,528778,1756133,1888,5232,1475
438081375,114258,369340,638,1484,290
438081416,552128,1723686,18307,4590,1287
438081541,112611,142738,0,0,0
438082125,69842,153937,284,1184,166
438082333,83227,191777,348,1170,109
439081500,869551,2864933,2509,7363,2691
439081833,928125,2841640,19214,8202,2294
439082375,768610,1793109,16887,5869,1298
439082541,650029,1660782,1695,6721,1501
439082916,1103684,3108176,53511,17626,1967
439082958,874866,2657189,55654,18163,1990
440081208,336638,1090464,1656,3546,1066
440081250,411564,1016978,36117,12447,403
440081500,401860,1139462,36644,14034,555
440081625,200388,626202,17312,2127,398
441081291,147615,421127,1156,1658,557
441081458,71750,200112,41,94,19
441081750,188103,355086,35549,11108,64
441081791,261456,812712,1250,2379,822
441082166,41105,67489,173,578,57
441082625,105808,231390,394,1366,286
442081250,285640,900755,1218,3081,885
