TIME,FIXED_CYCLES,FIXED_INSTRUCTIONS,L1D_CACHE_MISS_ST,L1D_CACHE_MISS_LD,BRANCH_MISPRED_NONSPEC
378104791,398126,1130334,167,1017,1018
379104375,2183164,7600604,1631,36995,9812
380107125,2190104,8960751,658,33316,7282
381107416,2184626,9212278,294,32803,6875
382107333,2183832,9236202,1351,34549,6672
383104291,2177431,9159375,237,34725,6776
384107375,2316191,8982044,489,31425,12252
385104250,2380630,9424060,823,9742,13642
386104416,11688,19984,71,235,47
387107375,700732,1015245,1549,2400,2553
388107500,2388436,8551453,18338,19699,17048
389104458,2380716,7873427,15084,22449,17950
390104708,1061117,3222829,7897,15358,6544
392107166,2481947,13792982,17649,17147,1589
393104416,2585006,14951473,11521,19366,935
395104458,1766552,5339857,103733,22258,3987
395104708,2587,5337,0,0,0
396104500,1056456,3604501,42777,9848,2529
396104583,611737,2082122,23923,6001,1716
396104666,140477,416684,4155,1681,359
396104791,583443,2050455,43453,4906,1369
397104416,163750,285675,35388,11611,70
397104500,873318,2880880,52043,6442,2284
397104541,118216,314652,4740,1299,243
398104416,168691,535011,4509,1841,482
398104500,514848,1762148,18463,4600,1651
398104583,515341,1054968,38182,12643,239
398104708,368685,1230296,14019,3400,978
398105083,192502,474785,530,2308,270
399104458,54390,89359,748,657,1
399104500,47534,154492,2345,867,138
399104583,518334,1582257,20758,2841,1025
399104625,3120,5949,0,0,0
400104458,712559,2239729,72374,14415,1062
400104625,277433,702492,37486,11848,269
400104958,665674,2223108,27682,5749,1969
400105083,280146,900607,11104,2509,701
400105416,215719,526540,670,2497,435
400105666,199316,477269,590,2509,440
401104375,181101,616449,9017,1408,535
401104458,305193,1052138,9813,3215,414
401104500,192442,318534,0,0,0
402104666,830539,2838620,77179,15637,1859
402104958,10353,20258,73,146,0
402105583,11668,16550,15,83,0
402105833,514161,1280780,17529,5460,934
402105958,11853,12203,0,0,0
402106125,697226,2235740,45445,5527,1706
402106208,515523,1116993,17474,4565,925
403104291,84313,277270,2965,1207,211
403104375,94519,320344,5000,1149,233
403104458,547465,1849619,21873,4966,1212
403104500,87565,273878,37,72,20
404104458,139222,446826,5925,3737,164
404104500,811621,2295293,72888,16028,1105
404104583,598396,1977860,30468,5147,1123
405104416,153752,487267,5982,2018,437
405104458,32866,92598,1230,667,49
405104625,830110,2789584,34263,7693,2362
405104791,1067579,3365579,84414,17625,2008
405105083,105697,259592,335,1414,173
405108583,125808,284917,374,1487,232
406104291,147401,338448,19317,1285,156
406104375,106292,134361,16463,188,24
406104791,10313,13453,34,137,8
406104833,9903,9335,0,0,0
407104541,806146,2803139,50098,9086,1809
407104666,592532,2041459,32240,4968,1200
407105000,806744,2448451,73443,15301,1073
407105125,711848,2411139,30546,6021,2195
407105541,417494,1183359,571,4435,654
407105750,509530,1342265,1266,5135,1097
408104333,390112,1347634,17835,3569,1233
408104458,165641,545390,6860,1545,472
408104541,902048,3092881,38474,7235,2168
408104583,170047,459462,36556,11499,164
409104541,106100,339603,4488,1194,313
409104708,627649,2109823,42310,4495,1472
409104875,282565,755925,37267,12737,161
409105250,202013,532522,536,2445,369
409105416,85093,183892,355,1145,114
409105458,108124,150263,0,0,0
409105541,71991,136942,405,1220,116
410104250,45830,124859,2100,804,71
410104416,45951,128613,2004,935,112
410104458,242154,855008,12340,2427,524
410104500,430970,1012158,38598,12443,184
411104333,262026,780676,18827,1995,531
411104416,271152,590194,35926,11717,111
411104458,264669,784893,11227,1784,732
411104500,3911,6012,0,0,0
412104291,678783,1744048,62400,14330,594
412104375,80599,244099,3483,1082,136
412104416,525307,1574946,21064,3944,1032
413104291,12530,15369,0,0,0
413104333,76269,254149,3529,1232,235
