TIME,FIXED_CYCLES,FIXED_INSTRUCTIONS,L1D_CACHE_MISS_ST,L1D_CACHE_MISS_LD,BRANCH_MISPRED_NONSPEC
426080708,73235,210737,632,1081,255
426080833,117941,142910,0,0,0
426081083,137723,165371,0,0,0
427080833,188361,600553,1723,2195,296
427081500,66649,150525,205,968,135
427081541,63864,86384,491,848,77
427081583,65737,139168,288,967,134
428080625,1106133,3597329,4507,10234,3855
428080708,48131,65004,0,0,0
428080833,49389,127059,706,1082,134
428080916,42082,117917,555,800,68
428081291,23432,36306,245,440,19
428081500,42276,83439,164,770,94
428081750,25427,37740,255,491,72
429080833,1583655,5255445,53295,23765,4830
429080958,369147,1067619,36295,13485,514
429081208,33564,47843,0,0,0
430080750,379012,1292337,1988,4259,1228
430080833,89135,280223,818,1142,315
430080875,126718,157290,0,0,0
431080666,97853,323755,867,1353,249
431080750,254719,817140,959,2363,787
431080958,104574,279009,35,85,19
431081500,55772,95858,244,917,120
432080583,253094,821902,1311,2531,828
432080625,1485055,4698319,55795,23988,4133
432081041,430657,974147,36001,11474,286
432081166,311080,1020830,1382,3100,1063
433080708,518353,1769567,2785,5200,1665
433080833,564634,1540414,53350,14863,1011
433081083,79998,263319,846,1232,145
434080875,383344,1223293,1589,3463,1388
434080958,299381,954743,3170,7173,1022
434081041,602909,1712349,54234,16682,871
434081083,674840,1673018,53120,16959,883
434081583,267992,584952,897,3361,596
434081625,427496,1056129,1180,4431,1111
434081833,409678,1015785,1093,4533,789
435080750,2301699,7302159,57289,30106,6448
436080583,188857,273627,0,0,0
436080625,181982,579685,913,1976,667
436081250,115235,219005,539,1664,247
436081375,7890,9520,0,0,0
436081458,1735,3905,0,0,0
437080833,156761,518036,516,1798,379
437081000,82119,262334,698,1183,204
437081166,80980,277895,488,962,120
437081291,86083,231279,35,90,18
437082000,122573,266239,469,1646,246
437082083,190526,473909,603,2343,384
437082166,184974,439081,472,2048,366
438080833,129652,290354,35479,11288,85
438081250,1812491,5738690,56774,26265,5013
438082583,2286,3882,0,0,0
