TIME,FIXED_CYCLES,FIXED_INSTRUCTIONS,L1D_CACHE_MISS_ST,L1D_CACHE_MISS_LD,BRANCH_MISPRED_NONSPEC
375083250,349163,1047026,99,796,738
376082958,2183684,7469121,1695,36038,10150
377085750,2189954,8922035,577,34958,6928
378082666,2177405,9159023,276,33183,6902
379085916,2191107,9213998,1381,33153,6877
380085875,2183892,9171864,270,36095,6666
381085750,2183697,8554603,549,30911,11203
382082666,2177316,8150314,192,7556,13556
384082958,54515,75538,384,746,429
385085916,2395102,7398295,15204,16943,14762
386083000,19551,58944,25,83,28
386086916,2390580,8144715,15947,21680,18259
387083041,375573,1258774,2956,5074,2329
390085916,2177919,12345262,15205,14704,927
391085500,2491355,14044808,12783,21413,1519
393086916,319819,651150,4019,4498,805
393087083,326442,573240,35761,16228,623
394085625,412171,1245133,1404,3780,942
394085750,495697,1430860,36194,14115,879
394085875,414039,1111916,16635,3458,878
394085916,1763817,5638641,58436,26791,5484
395083000,83373,156496,19,68,31
395083333,17639,37086,3,15,8
395083500,82010,149283,34,102,38
395083750,726957,1952452,54179,15571,1101
395084208,59972,110924,206,873,113
395084250,19480,33838,31,329,6
396082708,40664,48348,176,253,26
396082791,25500,75461,117,251,32
396082833,24490,35582,0,0,0
396083250,20518,32026,2269,1247,0
396083333,6235,5186,0,0,0
397083166,289491,900956,3069,6184,895
397083458,211781,654873,982,2490,741
397083958,146944,174924,10424,950,163
397084208,151034,262647,569,1997,370
397084458,149510,406994,348,1924,402
397084541,223019,280643,0,0,0
397084625,153053,401953,498,1988,338
398082833,451124,1165237,36564,12747,454
398082875,358680,1180257,1802,3678,1260
398082958,414401,1427302,2524,4224,1144
398083083,447873,1538353,2520,4483,1425
399082833,20370,37442,590,561,95
399082916,261718,740919,35890,13328,272
399082958,525542,1755255,3297,4898,1994
399083333,572309,1706531,2153,4791,1702
400082833,671757,2208525,2377,6804,2266
400082916,494008,1518666,18933,4480,965
400082958,382944,1243771,1243,3785,1171
401082791,204366,665154,1215,2471,613
401082958,2641,4268,0,0,0
401083208,102096,217165,15227,1236,126
401083666,151788,390394,479,1715,309
401083750,10920,15666,22,100,0
401083958,152877,386213,532,1842,411
401084083,163734,401600,526,1968,415
402082750,87376,178156,16504,323,32
402082791,180819,558293,920,2104,544
402082958,83857,262261,418,1264,283
402083125,400147,1283644,1704,4804,990
402083583,133749,323382,589,1706,234
402083791,144321,243325,30941,9327,362
403082791,97527,298642,843,1447,372
403082958,461446,1303048,36434,14524,624
403083083,105188,110195,0,0,0
403083333,228737,737933,1198,2341,825
403083708,58821,141220,222,1032,199
403083875,63374,142294,395,1105,154
404082750,888399,2921889,2636,8088,3099
404082833,889814,2854628,55866,18061,2097
404082916,663407,2187156,7950,6538,1648
404083041,740726,2494493,3172,7619,2028
405082750,96084,297670,761,1153,401
405082958,243498,798838,954,2571,722
405083125,103353,292310,43,89,23
405083333,250062,541477,35983,13157,168
405083708,62649,147025,288,1025,136
405083875,61585,164099,261,1035,165
406082875,238029,761310,1177,2491,734
406082916,628979,2076868,1879,6002,1997
406083000,159052,486290,17326,1688,489
406083125,636163,1952709,54597,14660,1091
407082791,123607,407565,1084,1442,481
407082875,925847,3045611,19334,9381,2845
407082916,1281517,4213745,23835,10530,4485
408082833,148887,460190,707,1649,472
408082916,164685,511156,715,1893,563
408083041,252944,851764,1744,2862,865
408083208,1044317,3515164,6021,9623,3702
408083583,123836,259087,223,1227,250
409082833,950217,3261150,4191,8919,2919
409082875,681840,2282178,3386,6538,2571
409082958,273677,908958,1331,3392,846
409083000,993341,2735224,53804,17771,1603
410083000,111861,192695,34327,11240,33
410083083,8023,9223,0,0,0
410083125,107470,172936,15889,683,108
410083458,2975,6341,0,0,0
411082750,16112,27663,249,399,28
411082833,1230673,3589000,56169,18220,2925
411082916,25138,26130,0,0,0
411082958,101120,141806,20579,6518,11
412082750,277873,917598,1251,3212,783
412082791,27697,87080,505,790,119
412082875,30902,43477,0,0,0
413082958,508901,1676662,2299,5018,1725
413083083,32018,86651,191,544,42
413083375,782636,2700778,5033,6794,2351
413083500,786729,2177269,54002,16497,1125
413083958,351630,770376,17042,3010,561
413084083,346364,905866,1684,5072,544
414082708,186863,614600,912,1971,451
414082791,168077,531996,864,1791,591
414082833,176536,392201,35587,12220,142
415082708,128157,360273,1798,1600,272
415082750,369469,1239858,1905,3795,1106
415082833,375992,1038583,36166,12220,352
415083208,376333,1183482,1742,3214,1130
416082791,471463,1421965,18144,3772,872
416082958,456991,766407,35468,12346,118
416083250,316217,1031740,2028,3332,747
416083375,414236,1129381,17854,3496,786
416083875,276528,770902,506,2930,676
416083958,289451,753251,664,3281,533
417082791,117356,388999,768,1347,411
417082833,805719,2570926,11554,24715,2112
417082916,984972,3165471,3384,9313,3481
417082958,17655,32920,385,442,92
418082708,38152,98357,730,820,127
418082750,155255,493640,948,1799,557
418082833,457087,1570403,2729,4215,1501
418082916,522138,1306334,36027,12618,420
419082750,471006,1532659,1806,4795,1473
419082791,875608,2547153,53391,15700,1624
419082958,1436204,4464748,57797,21356,3783
419083125,1427415,4813877,24107,13162,4748
419083541,735987,1973520,1187,6887,1756
419083625,614072,1712653,917,5597,1917
420082708,18060,59423,157,412,31
420082875,280495,943032,1528,2793,1075
420082916,22155,32272,0,0,0
420083000,1032535,3445917,3103,9920,3176
421082791,271414,871521,1331,3129,921
421082833,112267,341244,750,1419,370
421082916,319767,1028803,1443,3307,1067
421082958,633437,2037097,2504,6300,1999
422082666,561701,1853815,1509,5191,1741
422082750,337175,682373,36004,12140,130
422082833,332601,910987,17810,2876,734
422082875,198826,640057,1390,2173,671
422083250,129843,330127,483,1739,245
423082750,56872,190676,183,438,134
423082833,191257,270424,0,0,0
423082916,1044166,3147071,54244,19061,2293
423082958,23834,73206,195,362,38
424082750,150003,479721,946,2023,515
424082833,427877,1339242,18777,4431,1000
424082916,599761,1551726,36211,14209,660
424082958,540340,1698680,19473,5498,1402
425082833,891024,2211385,53299,15376,1052
425082875,58039,157337,811,1031,153
425082958,901102,3012575,5148,7947,3151
425083000,216328,683476,1243,2483,662
426082708,553753,1650172,53543,14361,864
426082750,124693,413535,872,1283,351
426082875,254057,791791,1691,3277,840
426083000,253409,305002,0,0,0
426083291,26219,56843,246,610,34
427082750,153515,510192,1223,1718,555
427082791,160365,305894,34530,12546,42
427083125,66159,199501,785,938,255
427083250,74206,75316,0,0,0
427083666,33850,87106,164,565,26
427083750,35395,41166,262,587,94
428082666,82828,257728,675,1272,265
428082750,11927,15402,0,0,0
428083041,90777,135047,0,0,0
428083333,3226,8712,0,0,0
429082875,52725,153126,710,1029,87
429083041,446835,1522204,2145,4596,1284
429083416,28747,37515,111,420,65
429083458,54640,60599,0,0,0
429083583,186638,588240,745,2090,548
429083833,45396,112385,221,654,31
430082916,238568,754488,1444,2581,873
430083083,591863,1561747,53779,14564,703
430083375,466289,877700,36166,12908,312
430083500,351803,532394,35294,12218,58
430083916,218637,536942,580,2508,432
430084000,176681,467788,460,2024,449
431082750,561023,1828501,2373,5494,1860
431082791,418449,1254959,17899,4183,1226
432082916,840557,2864449,20925,7063,2696
432083291,1125269,2737717,57892,25254,1369
432083416,484367,1577590,1646,5125,1651
432083541,573445,1909578,3300,5386,1857
432084000,257236,732415,613,2880,517
432084166,401782,984140,7292,4971,524
433082875,122466,400766,948,1417,406
433083041,212532,329677,34437,13102,35
433083291,204282,331790,34564,13020,34
433083416,73863,202145,31,78,20
433083958,154878,346108,469,1897,343
433084083,8495,9949,0,0,0
433084125,99921,200695,475,1335,239
434082625,2895,7111,0,0,0
434082708,78740,245093,1542,2947,265
434082791,641390,2108917,2104,5972,2061
434082833,643590,1710405,53344,16557,848
434083250,307862,680679,1135,3585,799
435082708,1074014,3274614,54930,19296,2356
435082750,880100,2837822,19068,7725,2435
436082791,114135,175384,0,0,0
436082916,782135,2652370,3846,7097,2464
436083208,913688,2933389,18819,8572,2286
436083375,109272,337098,480,1188,401
436083708,539527,1553071,960,5263,1399
436083958,538740,1417905,1214,5524,1454
437082666,99810,315352,722,1411,284
437082875,453642,1278146,36542,14769,540
437082958,448472,1411482,1822,4200,1592
438083041,764715,2506561,1964,6628,2491
438083416,846123,2424014,54081,16935,1480
438083541,849859,2358829,54913,16890,1480
438083708,591379,1918027,2451,5423,1967
438083875,347787,922356,915,3971,925
439082750,830592,2774595,2400,8025,2548
439082791,40687,52985,0,0,0
439082875,862014,2772855,19839,8084,2359
440083250,192451,640521,867,1668,785
440083333,864490,2219252,1649,8338,2373
440083750,742821,2009977,1310,7196,1620
440083791,97184,138652,0,0,0
440083916,777501,2531864,19601,6438,1785
440084166,98280,307974,450,1046,215
440084458,7317,5714,0,0,0
441082750,466402,1275589,18282,3258,1081
441082833,566308,1773284,1065,4263,1622
441082916,924002,3033123,55768,17642,2377
442082708,118101,382237,380,1220,303
442082750,66516,211533,727,1132,251
442083000,73608,209489,47,99,23
442083458,121240,162571,0,0,0
442083500,568431,1329026,17484,5088,1151
442083541,92235,185927,313,1089,165
443082791,100983,299483,636,1344,295
443082833,172133,543773,876,1878,516
