TIME,FIXED_CYCLES,FIXED_INSTRUCTIONS,L1D_CACHE_MISS_ST,L1D_CACHE_MISS_LD,BRANCH_MISPRED_NONSPEC
370105083,1220353,4228120,120,15362,3357
371104833,1800302,6900477,411,23548,5645
372104583,1924735,7836413,137,25249,5683
374104625,2300234,9436707,1290,34068,6719
375101791,2584934,9817630,124,33621,8582
376104583,1099910,3629441,269,4701,8539
383102125,24601,41918,108,350,134
385101875,25270,40948,0,0,0
391104750,93900,164814,196,284,224
393104375,51267,80388,198,355,64
399104500,237161,436982,832,1310,532
400102125,203639,486517,1020,2167,882
402104375,91879,131259,6,45,17
409104458,586036,2933679,2909,3114,188
410101958,1016055,4174006,1488,6149,1041
411101916,1548391,8487601,8966,11197,566
413101958,183505,472486,230,1865,3276
413102041,1389710,3621244,2120,14322,25145
414101833,10022,9920,0,0,0
414101875,26346,39092,28,88,134
414102000,925026,2232778,39480,8351,3632
414102083,4067,7218,0,0,0
415102000,482409,1474473,12231,5643,5100
415102250,2815321,8306207,124896,26593,8344
415102458,2799215,8656908,138912,28971,6362
415102708,566237,1992231,29024,5544,120
415103666,1790765,4673557,6787,35993,284
415103708,1847439,4500365,23004,33299,415
415103833,1768342,4467741,21998,33584,459
415103958,1770186,4369379,22361,35377,1635
416101958,240647,700995,1012,2663,5355
416102041,339994,873824,1053,2757,5461
416102125,288941,1102918,18620,3414,62
416102166,376691,924265,563,3685,6110
416102791,279211,642443,968,5502,49
416102916,221271,403025,266,1841,2995
416103000,223960,422895,15888,3105,74
416103041,244758,691064,987,5331,54
417102375,2987985,10263425,144458,29702,23847
417102416,2988450,9523640,124079,29056,30403
417103083,2990676,9174665,104737,31972,23594
417103125,2991184,10043229,129733,28089,24232
417104083,2065737,4762926,22668,31875,8754
417104625,2066743,4000011,3887,16958,26538
417104791,2067193,4846272,22383,31929,8171
418101958,475342,1316701,2318,4552,9835
418102041,1316865,3316546,2057,12974,22330
418102083,1317515,4264265,69162,12217,278
418102250,441580,1336558,34757,4548,71
418102833,300907,764118,1169,6112,60
418102958,289777,743654,1239,6226,48
418103083,295848,640855,401,2903,4701
419102125,2988290,9592093,143485,30146,13078
419102208,902185,2315279,1383,9359,16069
419102250,876710,2551531,39079,9147,6539
419102291,856476,2213430,1255,8458,14302
419102958,578511,1452535,5825,11101,114
419103125,583068,1527458,2085,12395,89
419103208,582048,1532491,2111,13015,85
419103250,577456,1530506,1925,12978,76
420102000,894474,2380823,4683,8026,17039
420102041,898474,2524434,5600,8851,19385
420102125,860123,2990125,44750,8508,153
420102166,853682,2336171,3559,7644,16664
420102583,571019,1691581,2186,13276,105
420102791,570184,1103991,775,4719,7840
420103000,568341,1539579,2085,12910,101
420103291,574256,1004628,8082,4289,4799
421102041,2987740,9406831,114010,28885,29810
421102166,2988393,10106301,149235,30237,20332
421102208,2988042,9552446,144792,26705,13321
421103916,1641632,3332432,3321,17146,19717
421103958,2066223,4933566,22476,34996,8458
421104166,1489066,3000689,15543,13658,20530
421104208,1501249,2992262,18861,15759,16209
422101958,1997111,6818042,117210,23265,390
422102041,2418934,7196949,71049,22467,29443
422102083,610518,2148736,32219,6246,102
422102375,2419880,7929671,115804,22906,9334
422103833,1664251,4504498,22389,30467,7068
422103916,1678569,4608717,22974,33883,3797
422104041,1380148,2139351,18148,9365,11412
423102125,615755,2029879,30764,5852,124
423102166,1720183,5037830,30612,17068,29487
423102250,1681843,4324485,2649,16866,28902
423102375,1519655,4173351,47827,12719,10798
423103083,417510,1044714,17812,8366,83
423103125,420659,908213,609,4175,6743
423103291,420553,754560,17087,5607,38
424102000,1351585,3450873,19153,14013,21665
424102041,1320489,4396610,78452,12325,244
424102125,1333474,3767193,39717,13557,13867
424102208,1339993,4123484,51104,12157,12656
424102958,905719,2374820,3215,18718,137
424103000,642294,1693831,2226,13337,106
424103083,912064,2113490,2732,14383,7778
424103166,674645,1940958,2366,14804,119
425102166,2988148,9404790,120609,28441,15731
425102458,2047790,6229981,56773,21411,29154
425102916,2990787,10075755,143644,29472,19254
425103000,1380945,2980856,1994,13630,22782
425103208,2021348,6167154,54616,18720,28873
425103291,844349,2261759,2805,17078,122
426101916,331558,912499,840,3516,6824
426102041,326865,1018418,8391,4452,3731
426102083,203706,653306,10572,2641,55
426102916,143241,359725,683,3299,55
427102041,107690,356498,5584,1626,22
427102458,252236,598696,322,2300,3796
427102625,170787,584287,8147,1701,32
427102916,246048,833019,13689,4415,43
427103333,69277,151229,182,1480,13
427103458,64743,121677,324,1506,12
428101958,44469,68445,52,146,140
428102000,48791,141533,161,654,958
428102083,36707,94338,119,424,596
428102125,3419,5495,0,0,0
428102500,15817,30376,42,314,0
428102666,28659,34939,209,632,12
429102041,1713867,6017953,103478,16020,1471
429102125,2988023,9329014,95328,28754,31028
429102208,2193268,7434503,115176,23305,4466
429102291,2988526,9464105,134038,29743,13347
429103333,2065393,5601311,7217,43189,318
429103458,2065347,5431402,11410,42241,316
429103666,2054930,4933336,22231,32677,11870
429103833,2061019,5554103,7873,42071,333
430102041,278080,805571,1208,3058,6145
430102083,277016,712288,483,2812,5149
430102125,570040,1537262,1091,6132,10643
430102166,568638,1452079,947,5779,9628
430102708,397384,830244,516,3831,6219
430102875,385465,978266,1518,7696,64
430102916,173109,474619,742,3896,38
430103000,196072,465703,5973,3644,43
431101875,2987636,9345100,122291,60232,25514
431101958,189902,432241,212,1610,2502
431102041,49032,132688,2141,1226,14
431102166,2988185,9235961,111310,29416,19812
431102750,91967,207474,381,1918,7
431102875,137483,330883,560,2937,21
432101916,203111,662956,8551,3244,103
432102041,841791,2393753,3621,8219,18009
432102125,257666,863231,12780,3187,113
432102166,200355,644566,9187,2277,39
432102750,131362,279925,202,1387,2066
432102791,126655,236313,139,997,1619
432102833,133425,276787,77,1347,2135
432102875,131291,273934,146,1300,2052
433101916,203083,584707,1169,2191,4431
433102000,205014,529181,266,2144,3679
433102083,929744,2338902,1249,9250,15945
433102500,136116,304915,554,2686,23
434102000,1956765,6104605,58106,19234,29654
434102041,2988230,9527263,110750,30220,25927
434102166,1948418,5771287,72395,17611,11249
434102333,2974087,9275025,96544,30361,29173
434103041,1329300,3603641,4782,27150,216
435102291,1526833,4791770,55902,16306,15558
435102458,485029,1493961,10990,6462,5795
435102750,1754882,5200091,40561,18077,29426
435102875,1757046,6254924,102241,16974,6082
435103583,270176,628046,3983,5292,53
436101916,2274271,6969069,64718,21959,30317
436101958,146570,465765,6714,2302,39
436102000,145656,335807,170,1338,2310
436102041,37354,112309,2344,811,11
437101916,7814,19238,2,11,7
437102000,25507,96080,1898,420,6
437102041,264009,929162,14823,3238,47
437102083,52821,55804,53,98,3
437102583,9496,18636,22,136,2
438102041,180838,441878,370,1275,2341
438102083,545710,1414957,766,5492,9149
438102166,173979,582635,10494,2248,32
438102208,458589,1456387,23384,5488,2180
438102708,102884,296347,428,2792,22
438102875,104850,244716,427,2323,19
438102958,101494,258784,324,2451,28
438103041,100142,255924,450,2534,33
439102000,279338,788280,1110,3161,6076
439102083,279244,983996,13411,2953,57
439102125,84413,275031,3670,1443,21
439102166,352473,1221031,18524,3691,55
439102666,31257,70541,109,939,15
440101916,65206,202174,3577,1248,14
440102083,58779,165015,2488,1124,13
440102333,72545,109004,23,286,398
440102500,17433,44442,5,20,9
440103041,33602,70570,67,774,9
440103083,11062,12887,25,50,10
440103166,48463,77715,199,916,11
441102000,1724216,4679869,7713,19654,29223
441102166,2987177,9992095,114017,28179,29435
441102333,1722833,5798795,94061,18265,2224
441102791,126593,286122,348,2583,31
441103041,1205327,2536196,19206,15689,8435
441103125,2192317,6959610,81788,18813,19760
441103208,1184947,3185396,4186,23792,149
442102041,649950,1866643,3046,6275,13081
442102125,544471,1836652,38817,5265,1815
442102208,588595,1806871,33513,7101,4801
442102250,689772,1962350,4069,6616,14770
442102750,437201,1195360,1644,9954,72
442102958,428350,840976,17180,6330,52
442103083,441479,1184255,1713,9074,54
442103208,440190,676722,1826,3418,3313
443102041,2987656,9845337,116482,27169,26811
443102125,2988030,9602684,107894,29201,28222
443102166,2987892,9508458,140678,26397,14672
443102416,2988606,10139173,149641,27043,17421
443103083,2063743,4540689,8651,25283,26598
443103291,2064593,5651458,8269,42493,335
443103708,2065064,4028418,19451,17206,24208
444102000,598222,1537987,818,6294,11212
444102083,734096,2776677,44866,6444,167
444102125,790304,2321134,10033,8861,14221
444102208,892732,3100506,44732,8119,173
444103000,1022628,2454528,19531,18730,160
444103208,1028270,2187681,19354,15582,4192
444103250,1067323,2543130,5731,21667,141
444103500,1048594,2778373,20305,21730,275
445102250,2988177,9187760,113727,28290,29842
445102333,2988913,9497419,142198,27919,12818
445102375,2988866,8602907,96917,28475,30185
445102541,2989155,9473163,137650,27416,16394
445103666,2064067,3887187,2522,15859,26277
445104291,2066174,4845756,22731,33861,982
445104708,2066223,3850561,16900,16097,24902
446102125,1516272,4001988,22260,16216,24063
446102166,1059244,3708650,54125,10057,206
446102333,1490862,3992466,31278,15397,19922
446102416,1045039,3015219,4798,10193,21926
446103000,725750,1964286,2691,15676,114
446103083,715579,1913999,2430,15050,119
446103166,728671,1615466,1938,10160,8118
447101916,2987538,9582442,142541,28372,13308
447102041,2986844,10026628,144962,27987,19392
447102166,61695,129951,2344,1140,13
447102208,2987904,9169895,111391,27500,29953
448101958,711366,1881994,24655,6526,7404
448102083,561821,1977329,28054,5655,97
448102125,765820,2819399,42921,6898,163
448103583,1320132,3330663,20764,23810,180
448103916,1908854,4227941,21621,28962,6532
448103958,1948582,3687059,19624,18486,16102
449102083,2987918,8532221,92515,29553,29567
449102166,2988802,9169479,104220,28502,22041
449102333,2988789,9255895,111912,28883,30069
449102375,2988500,8908363,101947,30104,29371
449102958,155256,143095,16362,219,18
449103291,2063174,4917695,21711,30648,13701
449103333,2063053,4334980,4141,22643,22956
449103625,2063683,4565862,22377,28982,6818
450102000,2987065,9689155,103365,29310,29664
450102041,2987396,9694982,106037,28994,29555
450102125,2988114,9755928,110636,27198,26232
450103208,2063521,6084050,32430,44356,365
450103541,2063888,4602988,20895,26904,23042
450104125,2065367,4995198,22714,34297,3328
451102250,2988556,10022907,146703,28334,19102
451102833,2990485,9713160,137468,29078,18939
451103000,2991300,9378179,114100,27500,29873
451103125,2991546,9648677,143928,28386,14579
451103791,119317,67652,26,117,21
451104041,2065532,5552781,7047,44533,260
451104125,2064574,5321259,23045,41755,332
451104208,2064634,4565814,6190,26060,26532
452102000,2987128,9781506,145806,28092,14990
452102208,2985665,9744952,144077,28498,14733
