TIME,FIXED_CYCLES,FIXED_INSTRUCTIONS,L1D_CACHE_MISS_ST,L1D_CACHE_MISS_LD,BRANCH_MISPRED_NONSPEC
419076708,2988427,9643917,122468,28501,29833
419076750,2987105,9228231,103741,28791,29820
419078416,1454889,3545445,20665,27144,2975
419078625,1597641,3979961,21815,31424,286
419078750,2063727,4538922,21341,26552,13332
420076625,1215656,4035731,69973,12648,220
420076666,919644,2723833,9695,10461,18060
420076750,1124440,3914356,55745,10835,222
420076791,984984,3038319,46689,9761,6034
420077708,1196273,3018121,3816,25014,176
420077833,1168744,3048227,3990,22885,139
420078750,1169337,2339112,19083,16164,3319
421076791,1277804,3722403,44656,13494,11458
421077083,1238194,3500013,5140,12533,26189
421077250,2989488,9202852,107178,28534,29700
421077375,2990120,9703388,140133,27488,18881
421078041,845099,1794155,848,8280,14057
421078208,877350,1700907,1164,7328,12151
421078500,879015,1691700,2048,9102,10305
422076666,2986731,9585618,140324,28308,13878
422076916,2988312,9457874,97946,28500,28767
422076958,2986779,9720262,142244,30188,14550
422077041,2987396,9450075,98808,27418,29822
422078416,2063857,5692096,22649,41758,470
422078541,2064631,4834287,21100,32199,15555
422078625,2064432,5513349,23816,35954,6837
423076666,2988305,9815539,122730,30586,20453
423076750,2987790,9651546,141634,28477,14220
423076791,2987678,9877277,119609,30484,26073
423078583,1456976,3110161,11672,19149,14791
423079208,2064714,4633025,21491,27008,13506
423083583,5624,5284,0,0,0
424076625,726237,2106920,3797,7448,16008
424076708,498553,1672986,27176,5582,97
424076750,666789,2277334,30948,6985,118
424077000,611019,1589539,782,6404,11181
424078416,2017060,4594335,21643,29770,15694
424078500,2019329,4375838,21313,28726,16233
425076666,2988124,9648391,143105,27962,14084
425076750,2988153,9343238,94391,32104,30002
425076833,2987397,9916994,143809,28895,18571
425076958,2988419,8987152,99093,31714,29959
425078041,911249,2641579,2861,18365,177
425078083,2063189,5347305,22307,39822,264
425078250,2063497,5155048,23358,39560,342
426076750,2987909,9521576,131347,28928,17024
426076791,2988143,9697628,103674,31293,26242
426076875,2718594,8453965,84307,28129,29646
426079166,2065433,4183839,3819,20397,29427
426079208,1922287,4425647,22068,28740,10890
427076708,2987349,8836101,102905,33773,30316
427076750,2988143,10004523,145210,28770,19095
427076833,2988088,9281705,110203,28863,29216
427076875,2988070,9275086,111304,28780,29513
427078083,2062465,5451391,23306,44541,358
427078291,2062739,5323511,22730,33665,8635
427078416,2062734,4521172,21138,28471,19077
428076625,1066327,3016510,4942,10718,22386
428076666,2987576,9397531,113528,28700,29202
428076750,2987978,9773706,117977,27302,23798
428076791,2987766,9288357,110135,29808,29910
428077458,723334,1534847,938,7061,11865
428077583,723576,1821772,2323,14548,140
428077666,723238,1539657,786,7101,11894
429076625,2649032,8040912,75482,26641,29495
429076708,2988195,9963452,146811,30425,18946
429076750,2988169,9479897,98293,29364,29423
429078083,1516729,3939130,13146,28199,223
429078291,2065348,4888593,22337,31857,13574
429078333,2065119,3823770,19386,16365,22883
430076666,226146,734787,11113,2572,34
430076708,228235,626356,1071,2197,4610
430076791,2988398,9869372,122433,32211,19177
430076833,2988400,9320141,97604,29043,30382
430077416,122507,224277,831,2186,629
430077666,158861,348237,380,3050,21
431076500,1674753,4280503,11648,16999,26718
431076583,2785179,8685483,98437,26571,25280
431076625,407251,1059602,973,4753,7301
431076708,282967,957207,14657,3489,39
431077916,2064795,5361947,23233,38637,374
431078000,2064179,5305123,23061,40414,289
431078458,1924938,3476236,2235,14320,23343
432076500,134240,362309,150,1568,2556
432076541,129111,358456,453,1487,2902
432076666,113215,290092,236,666,996
432076708,129183,414792,6175,2027,33
432077458,112054,262147,500,2497,21
432077541,115320,286786,561,2533,25
432077666,201907,444523,733,4129,60
433076666,2987834,8969091,93657,29104,24059
433076750,2988835,9882889,120574,28549,26915
433076833,2988833,9739970,143255,29527,16506
433076875,2988712,9777138,116450,28505,28683
433078541,2065181,5449556,22644,43318,336
433078625,1658382,3755137,20531,25952,11245
433078666,2065880,4706182,22360,31806,5490
433078708,2065740,4047947,19679,18683,21900
