TIME,FIXED_CYCLES,FIXED_INSTRUCTIONS,L1D_CACHE_MISS_ST,L1D_CACHE_MISS_LD,BRANCH_MISPRED_NONSPEC
372085958,1265810,3499477,1792,17430,6269
373085833,2183899,8891973,544,34215,7800
374088916,2190731,9135325,344,34052,6768
375085791,2177211,9167944,288,33426,6761
376085958,2348262,9790173,1457,36946,7189
377088791,2394898,9577731,244,37349,8803
378088875,2388362,8938340,402,12882,15561
379086291,2380988,8530496,3414,17389,8176
381086250,1647668,4659482,9717,10523,9820
382088916,2394499,8801016,16421,18102,17087
383086125,2381274,7717532,18987,27472,13924
386088750,962868,5076723,6500,7177,830
387085958,2584818,14344753,14168,21572,2060
388088791,2599448,15662865,13329,18766,402
389089875,161312,130040,0,0,0
390088708,582621,1937156,1281,6202,1676
390088791,576729,1900519,894,6431,1745
391086250,231481,366043,587,517,105
391086458,319732,1059994,826,3299,845
391086833,225275,303082,36,103,63
391087000,268100,604966,24493,2619,346
391087583,162029,369707,67,1378,348
391087791,171671,260058,480,2555,433
391087833,147008,57304,39,140,102
392085916,1110983,3553401,1799,11966,3081
392086000,156047,468881,277,1639,408
392086083,31402,38135,0,0,0
392086208,25667,71731,1494,726,113
392086500,7882,14012,14,98,2
393085875,203448,716933,10566,2557,546
393085958,320408,1060416,546,3669,850
393086000,322708,767009,284,1753,420
393086083,1128520,3587326,63040,13710,2380
393086625,122105,303281,42,1129,276
394085958,928461,3054900,43871,10326,2539
394086083,769181,2447621,38208,8599,1496
394086250,122862,176540,0,0,0
394086541,94852,230109,41,858,202
394086583,123774,428250,279,1410,367
394086666,83471,228831,11,857,204
395086333,21163,26031,0,0,0
395086833,316606,1038718,458,3520,882
395087125,1255458,4075725,73911,15168,2916
395087583,792938,1841455,17183,15382,1265
395087750,288073,665973,10633,5020,249
395087958,32337,71761,13,290,46
396086291,446061,1392575,20236,5434,1052
396086458,401793,1423208,15074,5478,663
396086625,448467,1178394,1307,2904,842
396086750,1208843,3932033,42078,13174,2762
396087333,479249,1251812,174,4630,1092
396087458,325739,424483,17188,3504,488
396087541,480892,1106946,18261,8258,755
396087583,349388,968793,68,3696,839
397085833,374129,1199278,852,4126,999
397085916,32950,74364,738,1080,132
397085958,304333,1079784,988,3257,897
397086041,160662,177895,0,0,0
398086000,314952,1007991,1978,4178,788
398086041,30236,42027,5141,0,0
398086208,31313,33369,0,0,0
398086666,15300,22403,11,159,1
398086791,37686,62072,15,185,38
399085958,763969,1761650,598,4501,1025
399086416,571004,2027050,33163,6676,1317
399086541,641344,2121948,47072,7558,1694
399086791,232067,770132,434,2559,573
399087291,175075,502216,9,1855,385
400085958,927363,2565551,1393,6808,1640
400086083,926964,3253860,63504,10898,2337
400086208,660778,2228048,1084,7532,1733
400086250,660265,2135849,46211,6689,1221
401085916,8070,20459,44,69,7
401086083,1620647,4964266,43016,16848,3181
401086166,1678016,5462074,7888,15475,4405
401086208,86971,296740,179,968,235
402086000,224689,630742,23729,1986,305
402086083,113695,359083,364,1385,318
402086250,289722,944948,600,3230,786
402086708,291730,345639,80,563,119
402086875,84613,170415,310,1873,228
403086083,861031,2435414,1591,6392,1636
403086250,1104042,3432830,5697,10211,2509
403086458,861006,2506785,48550,8763,1311
403086875,608412,1615328,190,5948,1301
403087000,347855,1013780,13,3768,774
403087166,994748,3258766,15260,12275,2588
403087333,631513,1241780,18423,10083,662
404085833,485067,1542436,23636,4824,1006
404085875,1424758,4921501,81616,12984,4038
404086083,355239,1120510,8064,5170,602
404086208,489431,1017625,279,1317,248
404086833,260489,598718,1142,6050,521
404086875,350949,856013,1491,7480,737
404086916,330099,675477,100,2408,544
405085875,1091050,3621584,13287,13639,2543
405085916,1603756,3928221,1688,11181,2657
406086000,713642,2085621,1827,5845,1569
406086125,251572,346660,0,0,0
406086291,251480,782984,9969,3410,566
406086541,449063,1065216,468,2968,713
406086625,243772,618973,700,5731,413
406086958,198075,567305,24,2139,451
406087166,241888,591833,769,5170,516
406087291,166852,360829,673,3677,214
407085916,468528,1582350,24686,5008,1310
407086041,456362,952461,686,1767,443
407086083,2987706,9846108,47220,35523,7332
