TIME,FIXED_CYCLES,FIXED_INSTRUCTIONS,L1D_CACHE_MISS_ST,L1D_CACHE_MISS_LD,BRANCH_MISPRED_NONSPEC
380074125,1981730,6148155,1668,27348,9245
381073833,2183397,8914390,581,35017,8368
382076625,2190207,9118236,346,32865,6919
383073708,2177732,9243858,311,33209,6717
384076833,2190794,9128112,1453,34142,7065
385073791,2177432,8729807,259,32942,8214
386076791,2361290,8808801,286,9184,15652
387073916,2381032,8124252,4004,22465,8701
389076958,2360583,7267871,15038,16869,14779
390074875,29889,59970,25,79,33
390075166,14211,7863,3,5,3
390075333,2384348,8364359,16198,21541,18596
391073958,439093,1530401,3322,6216,2888
393074250,3941,5496,0,0,0
394073916,2044845,10039123,18235,12631,8317
395073916,2591941,13822468,19794,25280,8911
396073875,381432,894686,774,5175,60
396074000,426671,1007653,617,5922,58
397074208,203310,597291,1309,2171,3477
398073750,2590924,7742388,15918,21990,45482
398073833,127222,172152,0,0,0
398074375,244254,303883,0,0,0
399073791,316361,886564,1645,3012,5573
399073875,29007,76748,81,731,359
399073916,1336453,3717793,7357,9699,24846
399074000,188994,558519,1161,2138,3269
400073708,133025,369461,632,1613,2423
400073875,645475,1847692,3736,5860,11497
400073916,286332,787628,1878,2902,5181
400074333,224203,409252,507,2224,2390
400074541,110760,176330,204,1212,1074
401073875,2592519,7443932,18570,20248,46833
401074041,1768805,4974668,12422,14268,33608
401074208,1695814,4771043,11020,13795,29298
401074750,1418320,2845722,3078,11363,19174
401075000,1376338,2816207,3343,11507,17637
401075041,1774348,4347926,7264,9555,24044
401075125,35006,56198,63,296,318
402073791,2770876,7748786,17153,22126,48526
402073833,2768672,7811416,16152,19813,50799
402073875,2771467,7619953,16403,22092,51591
402074083,2772602,7669836,20200,22783,49253
402075041,2063665,4106837,4221,16439,28085
402075083,2064746,4375363,4390,16722,27639
402075125,2064650,4182229,4834,17280,28997
403073916,2772312,7630546,16082,18543,49641
403074083,1514307,4080868,10395,11673,28124
403074500,2773700,8136189,17883,27179,45373
403074625,1517373,4226239,8865,12201,27789
403075333,174793,327905,377,1313,2288
403075416,2064489,4167993,4712,16865,28958
403075583,1121764,2390072,885,10553,13302
404073791,1486878,4102975,7707,12839,28309
