TIME,FIXED_CYCLES,FIXED_INSTRUCTIONS,L1D_CACHE_MISS_ST,L1D_CACHE_MISS_LD,BRANCH_MISPRED_NONSPEC
423071916,47018,126585,17,466,65
424071125,1824110,5513786,3124,15947,3253
424071250,106537,368916,266,1252,271
424071416,105892,221828,45,128,28
424071833,79828,173679,223,1404,90
424072000,898865,2935122,41341,9444,2118
424072041,618155,1462187,15416,11662,1040
424072083,65826,159804,23,562,86
425070875,284175,946243,12266,3582,632
425071291,158137,559234,322,1835,365
425071416,498373,1703612,26631,4955,1441
425071666,323135,1089445,501,3657,627
425072000,213109,618483,8,2236,348
426070958,333040,1038935,15293,3679,900
426071083,517339,1212116,984,2370,479
426071208,515582,1845228,1780,5518,1178
426071708,378598,917622,1221,8259,555
426071791,349838,1028481,62,3741,671
426072083,363797,1014711,1168,7815,707
426072125,1400827,4467027,6392,13032,2753
427071166,126673,383400,6162,1842,197
427071291,313115,1102719,9036,4709,541
427071583,132206,456670,439,1420,285
427071750,314472,406839,0,0,0
427072041,91110,227661,334,2140,114
428070916,181454,638721,722,2097,395
428070958,44410,77545,7476,349,21
428071041,379769,833245,345,2138,430
428071083,42554,142804,63,505,87
429071041,111368,295252,5657,1678,231
429071166,71683,59377,0,0,0
429071333,63877,216568,95,725,135
429071666,113747,129390,0,0,0
429071708,29967,53249,23,151,11
429071916,31959,51474,311,749,65
429074416,38150,68610,78,781,8
430070833,1472314,4945030,5794,13604,3053
430070875,1472062,4824640,2934,15350,2968
430071208,4353,5121,0,0,0
430071666,1617,3903,0,0,0
430072083,1538,3927,0,0,0
431070750,443255,1520175,22928,5192,1389
431070916,127174,420428,231,1442,234
431070958,335321,764060,358,1971,333
431071041,301989,1028102,16061,3317,923
432070791,56268,189030,3839,1215,110
432070833,196977,661134,9334,2621,214
432070958,199823,285769,0,0,0
432071000,66348,190560,55,131,29
432071416,29384,59311,28,202,25
432071541,28016,71488,48,877,8
433070958,94573,332733,270,1063,178
433071083,256984,810805,12527,3210,659
433071458,1020657,2364021,1949,5182,1120
433071541,496757,1777590,3440,5267,1133
434070875,276451,936523,3979,4578,549
434071083,1345589,3973612,5960,11346,2237
434071166,186906,579243,8260,2661,360
434071291,367016,1167654,891,3709,762
434071875,246144,625805,64,2219,371
434071958,183548,418121,790,3897,242
434072000,197611,574410,8,2095,368
435070875,1548557,5047370,80629,17256,3638
435070916,1297974,4091445,2069,12827,2407
435071000,79914,139778,11658,554,9
435071166,1481337,5202844,79565,13207,4255
435071916,873138,2594362,20,9462,1705
435071958,880837,2423275,1902,13468,1294
435072125,871586,2227168,2390,13068,1069
436070833,35160,97906,2096,1025,13
436071291,386134,735815,260,1524,272
436071416,327939,1010491,16109,3681,852
436071666,328049,348331,0,0,0
436072541,28104,61521,148,642,79
437070875,58900,126345,2364,1146,75
437070916,832201,2249504,818,6073,1191
437071125,645037,2164888,1008,7121,1320
437071208,228229,804557,792,2439,580
437071500,36413,72568,232,941,41
438070958,1237938,3096752,1294,8826,1701
438071083,1257927,3557325,4420,8957,2092
438071333,1325191,4150233,10200,11597,2642
438071500,306382,1010780,16165,3874,564
438071875,209177,541909,873,4988,209
438071916,208317,525995,582,4861,344
439070916,877881,2510140,2303,6445,1476
439070958,10266,26295,382,187,0
439071000,60114,186203,115,661,121
439071083,879457,2906945,6619,11179,1730
439071541,55810,120433,270,1340,118
440070916,49135,169959,154,587,108
440071041,1545692,4478540,6913,12932,2562
440071083,53467,51469,0,0,0
440071333,50324,131837,34,106,16
440071750,49365,57638,5356,481,98
440071833,28800,69531,16,269,32
441071166,668343,2305104,41660,7577,1279
441071333,561995,1997610,2338,5903,1362
441071500,845159,2084855,899,5630,1013
441071916,461284,1222016,124,4250,764
441071958,565209,1250078,374,2787,525
441072083,380509,1058144,1404,8392,558
441072333,148011,152610,191,1482,137
442070833,416109,1422992,39343,4310,951
442070916,478474,1553640,7501,6389,860
442071083,280256,992625,982,2890,666
442071208,430052,1031919,1367,2758,582
442071791,24702,43569,49,498,9
442071875,195813,527933,60,1818,336
443071250,7832,14565,4,28,3
443071416,9964,22359,4,163,0
443071750,7223,10938,58,87,4
443071791,93248,88240,0,0,0
443072000,38214,101595,1866,1055,111
443072083,47889,126510,31,118,22
443072125,344868,1121892,15785,4073,611
444070833,78252,254274,425,1014,158
444070875,779927,2476191,35283,7628,2228
444070916,5922,10152,44,77,0
444071541,1431,3926,0,0,0
444071875,3651,6058,0,0,0
445071000,1816140,5581161,3796,16092,3186
445071083,1983189,6811890,94467,23543,4954
445071166,2068923,7418309,12438,23373,4690
445071208,335947,1081908,13525,4071,799
445071541,231767,596857,62,2129,379
446070833,650042,2176417,34351,6722,1824
446070916,167933,568702,8994,2476,388
446071375,935408,2988375,2895,7954,1742
446071458,681928,1862879,1830,4600,941
446071875,463566,1152028,1638,10880,716
447070833,38576,131157,36,466,96
447070916,836992,2792118,2100,8669,1648
447070958,837752,2228475,871,6029,1129
447071458,38896,79192,335,1031,84
447071500,45781,45461,0,0,0
447071708,571468,1443681,2090,10547,684
447071875,592194,1457685,2074,13232,1299
448070916,259246,862927,433,2819,509
448071000,2432034,8151404,11614,22674,5269
448071041,62530,167032,2845,1233,150
448071083,2368871,7916188,9114,20802,5147
449070916,158620,522368,283,1730,326
449070958,155273,551774,414,1838,360
449071000,238832,788181,13810,2993,385
450071125,341923,1035372,15053,3958,909
450071416,55378,183715,102,687,111
450071541,56280,71276,0,0,0
450071833,345236,478542,104,348,30
450072166,30196,70591,14,270,44
450072375,53226,136815,18,485,68
450072416,71886,159630,288,1699,206
451071250,2658132,8642732,108105,26489,5761
451071500,2666269,8634842,11230,22633,5264
451071625,2521338,8193889,101211,26462,5353
451071875,2754053,9651051,46734,29722,6003
451072541,1823056,5023828,485,17617,3122
451072791,1824648,4924890,18976,24861,2778
452070833,788961,2656518,39512,7814,2383
452070875,1420361,4460680,5025,11663,2599
453070833,394656,1421433,1856,4402,883
453070875,21103,54270,199,702,8
453070958,170946,555753,266,1815,354
453071041,401111,1331619,1221,3909,882
454070708,219796,425878,75,796,133
454070750,211157,751615,643,2220,499
454070875,322428,905069,12444,3614,831
454070916,1941402,5554267,3119,16326,3346
454071583,129405,343528,38,1239,202
454071833,131522,330169,562,3358,326
454071875,127020,364234,13,1344,251
455070875,643214,2080971,15245,7924,1029
455070916,550134,1767904,26066,6185,1305
455070958,557117,1446734,961,3295,615
456070916,156577,186969,0,0,0
456071000,73946,255050,126,882,153
456071041,317855,372164,0,0,0
456071083,73341,136058,38,83,20
456071541,42924,101477,249,1096,14
457070875,364077,1290609,20473,4095,823
457070916,413361,1050988,406,2924,549
457071041,1625,3980,0,0,0
457071583,15852,36517,9,147,17
457071708,16260,22775,100,319,13
457071958,65243,140994,24,501,77
458070750,480441,630244,119,233,24
458070875,481901,1441846,34780,4462,548
458070916,563537,1787117,25536,6225,1549
458071458,336576,889089,95,3157,532
458071583,392234,888397,1549,8254,758
458071625,324115,842506,104,2983,575
458071750,382793,927832,1398,9173,678
459070875,132746,186566,0,0,0
459070958,649892,2269675,4993,8179,1451
459071041,19973,49903,210,390,80
459071083,651571,2155407,4587,7882,1353
460070833,196886,156748,0,0,0
460070916,142932,140200,0,0,0
460071125,142836,301281,38,148,23
460071250,85104,128355,43,116,21
460071791,75005,212072,11,790,135
460071875,86648,72799,9152,0,0
460071958,65925,173419,3,651,112
460072041,63839,169596,14,623,103
461070750,684342,2321004,1707,7022,1468
461070833,187032,277185,56,292,55
461070916,144343,445437,6911,2144,306
461070958,1110157,3580656,42071,12252,2119
461071416,97408,269625,9,997,170
461071500,134172,304827,491,2813,175
462070916,181498,584471,453,1841,349
462071000,345523,1104877,15310,4128,685
462071166,1085650,3237433,1445,10023,1905
462071291,120825,130806,0,0,0
462071791,223888,522648,766,4916,405
462071916,237270,373358,16202,2501,102
463070916,2027825,6855943,10607,20545,4512
463071000,996075,3470995,54597,12314,2975
463071041,531785,1347468,498,3833,734
463071083,530813,1742406,1425,5232,1150
463071541,332354,887792,1462,7131,489
463071708,449338,1119525,1494,9692,887
463072000,373809,387703,9724,1598,222
464070750,777606,2663881,47071,9866,1540
464070875,394379,1191939,35915,5179,718
465070791,123306,417810,170,1405,240
465070833,545889,905192,200,1646,296
465070916,455874,871030,473,2123,392
465070958,323131,1154250,825,3528,726
466070958,1596392,4999617,6419,14556,3076
466071041,1442508,5042602,8063,15852,3068
466071083,1422120,4653675,7079,15394,2744
466071458,1421692,4481757,79688,13413,3067
466072041,996793,2741222,260,9592,1639
466072291,973446,2426877,20787,19896,1785
466072416,986201,2548639,2973,23577,1687
467070833,224961,752427,11306,2808,757
467071000,60226,155226,2626,1199,119
467071250,123724,164329,0,0,0
467071375,59641,147310,27,149,27
467071958,77152,156679,425,1657,104
467072000,33314,62907,265,866,96
467072041,46349,97031,29,349,39
468070833,638925,2214069,35845,8224,2023
468070916,484393,1659076,725,5499,1061
468070958,890622,3043930,2194,9339,1899
468071000,1061404,3812285,5377,11576,2440
469070875,234929,839575,863,2341,544
469070916,354562,494870,0,0,0
469070958,199988,714896,633,2024,463
469071041,346074,1189262,20974,3356,1030
469071541,221291,548471,739,5093,439
469071666,224990,595652,44,2157,349
469071791,223413,531069,827,5090,474
469071833,220568,641595,14,2358,457
470070916,454995,1155081,1024,2885,574
470071000,283319,826641,10508,3775,249
470071083,254462,616810,9114,2828,460
470071208,87924,266085,3544,1937,306
470071750,167114,378955,632,3592,305
470071875,173716,328972,1218,3519,147
471070833,29295,96399,1710,1007,87
471071125,34673,119760,25,87,21
471071166,45914,51878,0,0,0
471071541,22830,20711,2040,0,0
471071750,63012,149041,22,529,85
471071833,46286,121777,10,446,76
472070916,1154045,3756891,3846,10382,2194
472070958,158623,524176,406,1738,340
