TIME,FIXED_CYCLES,FIXED_INSTRUCTIONS,L1D_CACHE_MISS_ST,L1D_CACHE_MISS_LD,BRANCH_MISPRED_NONSPEC
370059208,1303433,3562050,3257,19840,6536
371058958,2227601,8998101,545,36208,8331
372061875,2395176,9948485,419,36861,7781
373061875,2388090,10109023,284,36093,7405
374058875,2380703,9985332,1414,39955,7655
375061958,2395516,9596248,292,38764,9033
376058833,2380648,8851247,389,8654,16472
377059000,2451849,7690533,5573,21850,7623
378059125,278659,410649,835,1187,683
379062125,2599843,8504140,18000,19920,17415
380062041,2591797,7891287,16384,22640,17069
381059041,801156,2036952,5454,9240,4825
384061541,2361584,13177133,14632,18570,1519
385061833,2667673,15229859,14449,24770,955
387061416,1767611,6180282,13534,15966,106
387061541,655811,1791291,2660,3421,63
388061791,95963,312934,567,774,5
388061916,463362,1480147,7214,6181,516
388061958,448265,1413937,19663,5026,1314
388062041,52832,151210,211,598,4
389061625,389397,1350678,2837,3446,17
389061666,209989,705274,1169,2094,4
389061750,248839,748572,10076,2658,629
389061791,1030386,3212198,39624,10645,1059
390059000,325271,434701,161,342,9
390059083,143944,468394,904,1983,2
390059333,356132,474444,281,487,12
390059500,142276,282606,32,93,27
390060000,104094,195435,448,2104,401
390060166,144533,350500,440,893,7
390060208,87065,213504,220,670,2
391059000,721064,1033118,10761,3543,362
391059083,563946,978685,9048,3746,540
391059250,404177,1160569,2185,3745,15
391059416,791679,1182489,9642,3833,288
391060000,306433,683232,865,2636,17
391060125,294329,784043,1116,2347,12
391060166,407161,1213743,1738,3755,13
391060333,415216,1250163,1924,3391,13
392059083,2771585,9066192,108067,27539,4371
392059166,1311134,4464787,87505,16539,3786
392059250,1456462,5235464,56500,15519,1245
392059291,1322887,4236650,8634,10057,38
392060416,959639,2516521,3957,11617,396
392060625,962497,2544244,3945,10332,682
392060750,963779,2218043,19996,19149,1596
392060875,958874,1832953,18872,13759,1284
393058958,97008,110065,0,0,0
393059041,80989,252900,2562,1269,158
393059083,40388,142649,180,430,2
393059166,45866,52450,0,0,0
393059458,19682,30972,173,518,93
394059458,483117,1314783,1628,5240,10
394059708,644837,2387924,5611,6426,24
394059791,882624,2982422,6607,6976,40
394059833,874543,3254184,7856,8266,41
394059916,541142,1882096,4382,5391,20
395059041,1846875,6657981,69703,20359,2049
395059250,1848135,6611088,16289,15422,78
395059458,2266804,7105659,114554,22761,4814
395059583,1960120,6775923,45100,19078,574
395060291,1284785,3154797,21769,24986,1734
395060458,1103656,2808594,21264,21051,2165
395060500,1307350,3402414,4386,11047,31
395060541,1374643,3424357,12770,28443,2757
396058875,101138,276993,4541,1667,153
396058916,1086196,3631006,51105,11544,2457
396059000,1212196,4202153,12083,12755,172
397058916,31527,106140,218,344,0
397059083,58530,82806,0,0,0
397059541,31602,43085,47,508,0
397060625,5133,5682,0,0,0
397060666,2120,3905,0,0,0
398059125,1420343,4312080,8740,9828,36
398059291,678468,2055151,41255,5330,1501
398059583,1420287,4923231,66364,14286,1999
398059791,1609920,6006784,15408,14791,64
398060166,470739,1305573,1634,4322,16
398060416,465775,1404765,2028,4181,6
398060458,467300,1307251,1799,4415,17
399059000,25952,34156,144,247,117
399059041,36873,100776,1833,907,70
399059083,163832,557954,10310,2050,537
399059125,64450,69469,0,0,0
399059541,9269,11433,26,155,30
400058875,78769,270127,442,808,3
400058916,514377,1904094,5289,5575,20
400059000,321996,1186201,2781,3603,12
400059041,1307704,4648053,10928,12074,54
401059041,2003212,6940708,108946,22549,4595
401059208,2004499,6532157,13599,15748,70
401059250,1193438,3699125,67557,11732,2539
401059875,842330,2303494,2808,7346,26
401060000,1376874,4189930,5805,11430,50
401060375,1292850,3268498,20382,16743,458
401060541,1399221,3226279,21527,25762,2133
402059041,136721,401074,6090,1946,411
402059166,298286,901362,13332,4117,747
402059500,1086806,3212374,6480,7265,36
402059625,1084206,3820006,66226,10978,2444
402060125,210771,485285,814,4287,335
402060208,197672,522086,901,4460,312
403058875,50172,168097,3304,1336,131
403058916,55621,155900,31,70,19
403059416,2804,7134,0,0,0
404058833,426401,1083990,1843,1989,6
404058916,979006,3321407,8020,7759,54
404059041,1215678,3850610,8093,9545,46
404059541,279216,708995,761,3033,8
404059833,269173,692272,955,6004,212
404059875,272062,534718,17401,4512,374
405058916,2988339,10898197,76257,29354,1627
405059000,1582590,5314923,12382,12163,54
405059041,621867,1859599,41296,6027,1330
405059208,1582017,5457513,83128,17347,3064
405059708,426637,1104052,1367,10054,750
405059833,423891,1039554,2318,9048,440
405060083,426870,1102975,1607,9201,597
406058875,1064313,3628950,8591,8695,38
406058916,930009,3268835,6977,8415,43
406059000,1202710,3879488,54375,12386,3247
407059041,430469,1480740,23971,4424,1317
407059125,192468,635484,10046,2832,602
407059166,492411,1257105,2004,2618,23
407059583,299507,714731,822,3061,9
407059750,156561,411396,553,1786,5
407060041,126076,354387,501,1010,4
408058833,109717,60123,0,0,0
408058958,99600,363783,751,1591,8
408061250,1571,3905,0,0,0
408061291,1856,3905,0,0,0
408062375,2828,3850,0,0,0
409059041,1388912,4888118,9843,12951,52
409059166,2981553,9979816,113239,28623,4571
409059291,930437,3220820,51212,10076,2782
409059416,930646,2805766,5412,6403,31
409059916,634574,1555613,2375,13883,1392
409060041,655008,1781582,2520,13226,1587
410058958,38220,107602,1793,934,103
410059000,292035,800718,26411,2982,578
410059041,395252,1373617,2928,4187,15
411059000,699624,2612283,6111,6988,26
411059125,562495,2066641,4249,5146,29
411059375,562762,2082100,5004,5925,31
411059541,799268,2057382,3426,3953,16
411059916,385969,1074381,1498,3067,12
412059250,1101223,4114424,10202,9856,48
412059416,2112682,7045142,58901,18125,970
412059500,1211259,3630295,8241,7769,41
412059583,704521,2216991,30448,6613,1944
412060291,472611,1216303,1875,10694,945
412060416,481530,1183710,18047,8211,660
412060458,476401,1323197,1450,4558,10
412060750,475433,1174756,2231,10308,1011
413058916,59328,159153,2715,1214,110
413058958,181171,634432,1022,2469,10
413059000,296610,973912,13661,3896,783
413059333,1307,3923,0,0,0
414058916,763386,2535387,37221,8446,610
414058958,492340,1815150,4538,5066,33
414059041,657559,2336998,4948,6303,16
414059083,641405,2389379,6144,6217,33
415059000,1686331,4989714,9312,11449,54
415059125,1583244,5895740,14186,14739,67
415059208,1688768,5852281,12618,15365,54
415059250,1758326,6168328,14817,14575,85
415060333,1172676,2965769,5258,25605,2227
415060583,1208414,2950080,21109,22837,1766
415060625,1158767,3070088,5045,13625,234
416059000,711366,2344294,34379,7127,1524
416059041,3050,4601,0,0,0
416059125,719122,1246801,1521,2016,6
416059166,130348,391259,4361,2068,366
417058916,114471,414214,675,1232,9
417058958,140410,151028,0,0,0
417059000,426614,923634,1601,1805,7
417059625,89796,223253,268,593,1
418058958,683133,2543636,6082,6805,31
418059041,444045,1459232,21006,4693,1020
418059208,454118,1131278,1818,2132,15
418059333,814725,3024579,7674,7414,32
418060041,288845,792999,952,2657,5
418060083,290211,825750,1176,2948,10
418060208,287592,717902,906,6406,481
418060250,292283,875761,1215,2902,7
419058875,289825,1016824,2344,3054,6
419059291,251598,620468,988,5816,496
419059416,13938,16769,11,180,0
419059625,1712,3905,0,0,0
419059791,1469,3903,0,0,0
420058875,488155,1696355,4121,4744,11
420058958,341455,1196748,35458,4108,822
420059041,1211670,4117678,60311,14611,2929
420059083,238244,760609,11574,3221,597
421059083,1646072,5680607,13127,15760,48
421059250,1772186,6311329,15679,14905,75
421059625,464516,1196040,27678,4111,606
421060000,312024,559672,17210,4477,227
421060041,334086,802714,1162,7217,639
421060125,547050,1370846,3324,12231,887
422058958,545770,1843996,28698,5575,1399
422059000,372574,1180433,17679,4259,1091
422059083,422860,1408041,12370,5724,293
422059125,548995,1403461,2096,2878,15
423058875,61336,188409,280,1241,1
423058958,37136,47814,0,0,0
423059083,36151,47455,5121,0,0
423059250,1591750,4842795,9731,11874,62
423059500,17892,19517,162,403,50
423059625,17286,30149,40,336,0
424059000,437102,1343889,2887,3108,14
424059166,438005,1423235,20983,4871,1119
424059541,792419,2358603,5112,4993,24
424059625,742875,2551525,5934,7282,36
424059958,294288,804018,1233,6983,567
424060333,316019,813272,1065,2709,8
425058958,528547,1810669,43439,6443,1372
425059041,26957,31119,0,0,0
425059166,28422,69876,1382,987,107
425059458,24154,20480,67,286,6
425059666,11556,21458,13,206,0
426058916,752036,2687191,5456,7346,16
426058958,850234,2643321,5713,5807,36
426059125,567407,2103061,5135,5812,27
426059166,614627,2173755,4656,6280,25
427058833,914558,2895234,7462,6760,33
427058875,914220,2836346,37936,10104,2432
427059083,1053641,3575696,8408,8571,44
427059333,1042666,3896258,9699,9910,49
427059958,624124,1580471,2441,13602,1281
427060000,701433,1620696,18718,13761,1008
428058958,732782,2217640,4718,5365,37
428059041,566426,1944822,29916,8225,1827
428059125,1950861,7289045,18393,18174,77
428059250,729400,2113536,46842,7660,1237
428059791,394580,861485,16507,6639,539
428060250,387727,959252,4401,8933,524
429059083,613041,2135987,4719,6060,21
429059125,758266,2145322,4280,4777,20
429059291,1319,3927,0,0,0
429059625,4014,5107,0,0,0
429060083,1401,3905,0,0,0
430058916,811518,2632918,37532,9409,1971
