TIME,FIXED_CYCLES,FIXED_INSTRUCTIONS,L1D_CACHE_MISS_ST,L1D_CACHE_MISS_LD,BRANCH_MISPRED_NONSPEC
423071041,204788,739323,1661,2540,10
423071083,1225720,3765471,7245,9003,44
423071250,1429846,5263367,45853,16395,594
423071375,7186,8286,0,0,0
423071833,9510,13694,13,102,0
423071958,462017,1250380,1709,4363,16
423072000,456608,1254496,1746,4234,21
424070875,378704,1204701,18524,4178,1048
424070958,562483,1983761,4290,5532,36
424071083,673861,2065107,45145,6216,1396
425071041,333116,604956,736,835,8
425071125,8551,9458,0,0,0
425071208,3186,6785,0,0,0
426071250,1210419,4213053,67880,13536,3358
426071333,834695,3057586,10069,9672,170
426071500,843930,2819649,6913,6451,36
426072000,562561,1569114,2029,5432,24
426072166,560076,1496323,2077,11818,908
426072291,990874,3139827,49092,11152,1388
426072333,561947,1648553,2721,4921,27
427070958,480550,1754902,4471,4907,15
427071125,568471,1480005,2549,3067,14
427071291,568006,1847210,36387,6409,547
427071791,483373,1096433,1681,2237,7
427071875,343759,850177,1271,7578,609
427072208,385902,1059426,1212,8459,812
427072375,312567,839924,1255,6718,428
427072541,405736,974238,2311,5449,260
428071000,98643,279691,4601,1748,204
428071125,1418153,5157510,67446,16575,1983
429070958,443658,1650441,3784,4913,13
429071083,356944,1125233,33996,4077,660
429071125,503334,1474941,2801,3371,17
429071166,304022,1128827,2659,2878,6
430071041,877117,2543005,5393,5228,18
430071083,506507,1648164,23217,4930,1433
430071208,661490,1624054,2612,3351,16
430071250,625873,2114965,31832,6684,1162
431071041,322103,1187551,2740,3176,15
431071125,231384,856250,2226,1910,7
431071250,1156601,3964930,8750,10274,40
431071291,1850985,6782978,57308,18428,1014
431071833,215167,590382,868,1797,2
431076375,237258,658394,884,2044,4
432071041,2943304,10521237,58277,26985,600
432071083,882127,2911294,43190,8283,2520
432071125,533229,1639981,25855,5903,862
432071208,534164,1523978,2618,3116,11
432071875,608717,1563046,2429,13504,1110
432072041,381752,938340,1545,8394,516
432072125,361117,1046573,1535,3212,17
433071000,295440,804771,1482,1849,13
433071083,287699,1005685,2326,3055,5
433071125,230181,759978,11481,3396,465
433071208,107428,290139,13109,1666,124
434071208,549121,1747593,3747,4109,16
434071375,367027,1091792,19584,4403,360
434071541,472680,875062,553,1044,6
434072166,303358,910032,1540,2776,7
434072291,301927,907801,1224,2533,13
434072583,305683,863273,1342,2961,7
434072625,466321,1528371,4490,5070,88
434072916,307271,466999,17254,3819,254
435071125,2085032,7272571,93911,20568,3511
435071166,1515842,4911241,10546,12170,64
435071791,1514985,5294219,12693,13779,55
435071833,1291573,3152197,21404,24730,1744
435072208,1040196,3015090,5437,10615,161
435072375,561754,1501600,36726,4810,692
435072625,1072601,2518899,21247,17384,791
436070916,1056706,3401152,6958,8239,38
436071041,92813,335448,662,1524,4
436071083,592851,1909628,29155,6374,1604
436071125,98509,137961,0,0,0
436075750,60130,105449,231,1309,101
437071083,401572,1484633,3633,4230,21
437071125,860371,2319563,4997,4860,35
437071166,704871,1789675,3134,3847,22
437071250,639702,1723887,3474,4066,17
438071000,1973987,6176035,12720,14570,71
438071041,2090229,6889737,16192,16134,93
438071250,1939257,6259643,102992,18605,4236
438071291,2232450,7772779,47432,22758,608
438072041,1347578,4059068,6003,11159,47
438072208,1337755,3627069,4878,11402,38
438072666,1337465,3638221,5188,28055,2963
438073458,1344124,3027592,21291,24033,1793
439070958,605642,1993770,43405,7453,1202
439071375,226325,691273,9355,2946,495
439071541,373709,1039358,1615,2295,10
439071750,370950,1298305,19985,5301,907
439072125,155097,411230,701,3609,416
439072291,154173,399633,680,1792,7
440071083,33819,106266,162,742,2
440071250,279210,894416,11353,3293,767
440071291,172511,583652,1118,2273,8
441071166,1510248,5104878,10936,13731,38
441071291,1678808,5893527,14234,13976,72
441071416,1680184,5385866,75650,15980,3875
441072000,1181825,3541400,5275,10092,44
441072125,1053356,2870955,3818,9234,31
441072250,1150608,2798747,21090,22128,1510
442070916,704241,2315330,36954,6170,1994
442070958,830765,2709486,6003,6397,29
442071125,828050,2595269,50192,8117,1711
442071541,279247,826969,1284,2820,8
442071791,585888,1444663,2756,12033,1322
442071833,565721,1515573,2227,11325,1416
443070916,173410,548973,8403,2297,421
443070958,395362,1381315,3084,3984,20
443071000,117217,383809,5898,1813,346
444071208,850661,3023220,6438,8408,39
444071375,533350,1968693,4262,5652,32
444071708,535485,1608822,3319,3740,23
444071791,582513,2153849,5315,5810,26
444072083,381333,1119729,1742,3312,17
445071000,1154116,3997959,9134,10935,46
445071041,1425130,5332446,13272,11458,59
445071083,1165912,3875340,8379,8190,64
445071208,1560974,5084153,88374,15368,3507
445071625,782603,2195429,2263,7866,26
445071833,778748,2030507,3748,16664,1756
445071958,782335,2371279,3155,6688,20
445072125,781018,1873312,19481,14000,462
446071125,438111,1433624,20818,4942,1207
446071250,1081094,3898072,37637,12511,443
446071375,774858,2604309,38381,7958,1646
446071625,776147,2318542,3978,5269,27
446072083,75485,189769,317,2021,178
446072250,529268,1276949,2149,11354,873
447071000,571704,2132346,4510,5354,22
447071166,753360,1725509,2702,3150,21
447071250,570300,2108798,5376,5564,29
447071291,564459,1902364,13206,6882,307
448071125,602333,1687125,3274,3497,23
448071291,1473811,5078784,19582,15034,329
448071416,602003,1810760,41439,6032,1093
448071875,408152,798516,1422,7484,630
448072083,444990,1343302,2045,3559,18
448072125,445936,1335171,1610,4882,11
448072208,429653,1169837,1310,3930,10
449071333,1892740,6610081,17030,15261,83
449071500,261989,833209,29456,3387,481
449071666,178608,645917,1362,2396,7
449071916,267908,665472,1436,1437,11
449072333,121258,295305,716,2932,69
449072458,120868,194957,14573,990,14
450071041,215333,700569,12079,2840,502
450071083,732935,2351328,32951,7846,2007
450071250,319628,776139,1232,1676,9
450071416,187906,678545,1318,2352,7
450071875,148849,406437,489,1692,4
450072000,147802,375936,516,3617,189
451071000,510275,1664837,25408,5283,1451
451071125,153842,532143,1189,1892,3
451071375,1224730,4084304,57606,12478,3132
452070916,641896,2374294,5642,6449,27
452071166,1049324,2988203,5460,6454,35
452071208,1046481,3470951,59472,11290,1896
452071833,217521,654473,1036,1709,18
452072000,418481,1153919,1558,3991,17
452072083,181537,449916,542,4051,361
453071625,548464,1592482,2598,4761,19
453071833,617126,2003747,26936,6154,1672
453071875,564067,1517386,2104,5165,12
453071916,857110,3092596,6826,7526,36
453072000,807486,2107163,1979,2387,29
453072125,813524,2758741,9396,9279,125
454071125,524236,1852385,4648,5004,23
454071166,756814,1742269,32570,4755,638
454071208,2985730,10804715,103592,30914,3497
454071333,839001,2695280,5614,6841,41
454072041,537585,1309240,1928,10935,892
454072208,555664,1678683,2381,4990,23
454072250,564485,1386206,2058,11583,883
454072333,555193,1413145,2121,11794,1222
455071041,271074,480293,530,851,4
455071083,266991,910479,14107,3468,821
455071166,234066,754406,5139,4407,125
455071208,608980,2072632,32236,5562,1655
455071791,156236,331225,7579,2630,227
456071125,584988,2176956,4960,6018,32
456071291,423497,1350084,19062,4945,1189
456071541,642774,1876447,4557,4183,20
456071708,592354,1639699,2867,3900,17
456072041,295340,773592,914,6469,436
457070916,85978,271083,491,1503,3
457071000,182135,487126,22618,2000,268
457071083,459239,1262022,2621,3020,18
457071125,303440,962661,15074,3615,717
458070958,559921,1749751,37243,6202,983
458071041,4212,10215,0,0,0
