TIME,FIXED_CYCLES,FIXED_INSTRUCTIONS,L1D_CACHE_MISS_ST,L1D_CACHE_MISS_LD,BRANCH_MISPRED_NONSPEC
418072958,67705,160562,316,1120,211
419072333,75489,216950,2302,1128,205
419072666,328266,531691,35422,11115,74
419072958,75165,172414,352,1188,170
419073375,133593,279923,627,1649,261
419073666,121557,209633,6682,1372,126
420072416,1626160,5273905,111545,21568,3645
420072541,729285,1987810,66281,15344,711
420073041,829136,2329654,2250,9538,1446
420073125,107578,258762,406,1401,241
421072208,729078,2158138,71499,16801,1042
421072250,727697,2441524,29195,6090,2242
421072333,497341,1683209,38236,3584,1198
421072375,371392,1190268,31800,3232,973
422072166,105608,361113,4877,1510,280
422072208,113112,173479,0,0,0
422072291,1141703,3597845,89273,19277,2116
422072375,334577,1138848,12761,3356,1014
423072208,601390,1662815,63512,14304,459
423072333,91955,280975,3628,1246,329
423072416,590576,1940618,21429,4925,1742
423072541,599225,2063433,25029,5611,1710
423073000,287267,747465,800,3526,732
424072125,155650,520706,7032,1889,399
424072208,157107,509523,6546,1512,357
424072250,144135,462584,6503,1636,369
424072291,248356,846329,11780,2346,827
425072166,352894,766551,39517,19299,491
425072250,175856,585323,5540,1939,499
425072291,208349,697479,9164,2197,543
425072333,265663,894187,11008,2628,862
426072125,349544,1205355,16244,3285,1066
426072166,224019,786844,27152,2431,356
426072250,87665,268361,3237,1244,176
427072166,37285,108214,945,514,97
427072458,438400,1420745,18529,4006,1278
427072625,439164,1055353,39640,14477,279
427072833,610281,1233375,40536,13904,251
427073208,15403,18285,100,341,21
427073416,17864,26774,134,467,77
428072250,991906,3478935,60230,7839,2529
428072458,54749,177294,39,94,17
429072250,87911,286843,2761,707,143
429072375,754311,2404702,77221,17210,1259
429072666,9106,22785,5,93,0
429072750,829428,2822973,35977,6073,2414
429073208,584419,1540589,1566,6251,867
429073291,660559,1935650,1271,6655,1202
429073458,462164,1119086,17477,4669,526
430072166,183814,638266,9393,1855,493
430072333,374328,446494,11254,3405,5
430072625,470169,1174299,42540,14149,426
430072750,218278,526114,20535,2006,337
430073250,267091,419399,17046,1893,126
431072208,30989,79159,1785,689,131
431072333,672324,1871313,66110,15404,664
431072375,31223,49439,0,0,0
431072416,866780,2847659,34019,6763,2474
432072166,18778,65756,8,34,10
432072291,362396,927588,39528,12698,253
432072333,1455780,4429160,99042,20532,2919
433072166,47684,122488,1491,895,111
433072291,152507,469957,6051,1910,464
433072333,395951,760620,36855,12054,169
433072375,446216,1309750,61633,14378,478
434072083,183901,621596,8344,1859,424
434072125,1328366,4406519,102945,21064,3054
434072208,190939,281049,13501,3843,7
434072291,60603,142818,17,57,18
434073458,649142,1701255,1506,7011,1008
435072166,29153,82782,625,824,113
435072208,393708,1335092,15141,3438,1022
435072291,29473,95218,6,21,15
435072458,33412,45530,0,0,0
436072125,239388,501777,36232,13798,122
436072208,96586,319664,5062,1265,184
436072458,112683,113106,0,0,0
436072625,98933,267318,41,105,19
436081333,39498,41244,17,242,0
437072083,650404,2261873,23930,5186,1856
437072166,658640,1827877,66321,14658,528
438072291,382462,1328361,17255,3542,931
438072333,555235,1228057,42386,12513,253
438072416,489964,1644504,20885,4354,1423
438072583,502278,1356771,61948,14901,393
438073208,359530,934117,837,4092,887
438073333,352270,974870,946,3767,737
439072166,646317,2048649,40449,5766,1329
439072208,911167,3235827,41676,8847,2130
440072291,440052,1324972,62494,15706,399
440072333,553505,1772162,22164,3565,1223
440072750,446570,972744,38972,13734,201
440072875,442725,745825,36432,12466,134
440073500,278792,706510,960,3268,422
440073541,254724,699313,798,3009,273
440073666,432189,1086884,1085,4156,795
441072291,64230,200066,2666,1025,219
441072333,47560,138300,2154,832,180
441072500,52832,68750,0,0,0
441072791,27503,34692,3066,1124,1
442072083,316997,809965,24940,2278,356
442072166,185104,600137,8200,2138,533
442072291,94027,134985,3541,1829,4
442072583,105260,257189,12196,1124,61
442072666,129933,349393,415,1855,269
443072125,144105,471718,5202,1472,455
443072166,252596,876697,11332,2190,813
443072250,295726,824705,38635,12664,163
443072291,42649,121325,1881,936,92
443072916,28885,70974,155,668,12
444072250,590652,1440304,44723,15093,418
444072291,576332,1988019,25534,4975,1636
444072458,631368,2081923,25442,5255,1640
444072625,753098,1717736,60219,15816,424
444072958,457020,1295327,697,4594,1261
444079291,545587,1183226,17557,5365,582
445072166,1014996,3372231,62634,11613,2216
445072333,26700,42591,0,0,0
445072416,24481,53762,798,1070,100
445072500,393883,1343976,17204,3624,1315
446072208,132663,284213,35706,11734,106
446072291,129403,414018,5083,1458,349
446072458,334161,1088290,14176,2750,1076
446072583,409161,1369953,17578,3165,1091
446073291,810389,2092988,1643,8383,1767
446073333,712239,1886520,1660,7266,1609
447072125,76402,222176,34,81,19
447072250,72536,106730,0,0,0
448072291,323148,990623,27015,2874,391
448072416,321404,604484,36859,13336,141
448072458,599145,1221941,43306,13429,408
448072500,315664,1038135,14963,2798,748
448072958,79312,134796,31432,9670,61
448073166,91739,229197,372,1399,150
449072166,120338,367318,3424,1401,370
449072208,1018448,3048197,84588,18715,1865
449072291,23155,62448,631,493,8
449072375,1023017,2682573,74069,16279,1123
450072166,473741,1514826,30708,3981,822
450072208,580940,1950376,40018,4726,1271
450072250,144326,472339,6704,1517,467
450072625,654757,2092265,40177,4969,1279
451072166,597718,1961201,22977,5267,1778
451072208,146550,177937,0,0,0
451072250,140694,487868,6712,1623,290
451072666,87547,234797,238,1198,84
451072833,1259007,4092589,67529,17127,2928
451072916,86418,212649,386,1399,202
452072208,196115,425458,34636,12792,70
452072333,217124,694668,9105,2003,545
452072458,225358,314298,0,0,0
453072208,210075,713077,9231,1600,375
453072291,524122,1756445,19943,5125,1321
453072375,637576,1605416,53897,20475,474
454072208,413959,1468924,30574,4111,639
454072291,114530,395753,5392,1389,281
454072458,202279,709656,25136,1549,294
454072583,359232,1152352,30084,2984,766
454072916,156320,397311,442,2019,419
455072083,331463,1162165,13631,3543,881
455072166,102606,336115,4386,1082,339
455072250,330762,1116171,15829,2830,1052
455072291,336574,740973,36701,12308,132
456072125,18931,33109,2,17,7
456072166,7582,12268,0,0,0
456072250,2393,5028,0,0,0
456072375,3752,7384,0,0,0
456072666,35377,80870,213,755,76
457072125,116004,402710,5661,1632,292
457072208,271024,732474,39307,12066,232
457073875,1483,3886,0,0,0
458072208,199343,594378,13196,2150,378
458072458,258120,585854,35981,13644,125
458072541,69710,200065,29,77,22
458072666,206697,358339,35366,10282,64
458073125,191466,424446,601,2071,373
458073250,37942,64620,282,776,99
458073500,55138,105364,319,961,126
459072125,373945,1266992,16823,3464,1105
459072166,550543,1518707,63005,14878,462
459072208,110052,357124,4993,1351,316
460072208,268717,778639,24969,2211,303
460072375,91321,269334,9077,1632,159
460072708,1514386,4703571,100433,20726,2991
460072833,1061987,3531489,56545,9016,2215
460073375,49639,84497,175,743,21
460073458,58218,126074,276,1036,173
461072125,146460,441702,5391,1706,415
461072208,63153,96563,11311,227,22
461072250,181089,632982,9649,1704,519
461072333,352300,1207805,16046,2451,1125
462072166,13826,46521,224,144,2
462072208,15290,36540,4,21,7
462072291,53294,171809,1717,549,129
462072375,60110,82891,0,0,0
462072833,156092,323666,674,1902,342
463072125,63503,199354,2546,878,193
463072291,128787,171985,0,0,0
463072416,79137,71913,0,0,0
463072833,66159,189250,28,71,22
464072166,313877,1083219,11518,2864,857
464072250,163691,539591,7547,1842,517
464072375,371916,1221232,15451,3395,1179
464072541,464793,1558971,19628,3898,915
464072958,88954,235372,270,1388,174
465072166,14838,52520,471,204,1
465072208,124046,417538,5690,1555,225
465072291,14876,20341,0,0,0
465072333,127533,277228,35542,11910,60
465072958,20943,28385,189,473,68
466072166,220331,230041,0,0,0
466072291,92016,166803,11197,1189,109
467072416,363053,1230230,14539,3377,946
467072708,529713,1147657,40306,14445,224
467072791,581648,1195976,40902,14752,261
467073041,319042,1048459,14881,3249,944
467073416,219046,599717,622,2599,470
468072291,72902,81843,0,0,0
468072375,8326,11868,135,144,2
468072416,82413,205702,35597,11635,59
468076500,2319,3927,0,0,0
469072166,179087,348334,35290,10754,46
469072250,109849,359192,4694,875,280
469072333,112043,214493,42,87,21
469072375,118085,269738,42,99,21
469072833,21817,38286,154,516,52
470072208,188210,623764,8029,1576,631
470072291,101011,329789,4723,1138,304
470072458,118773,237371,12511,1290,96
470072625,120633,161837,0,0,0
470073083,777246,2108953,1741,7320,1186
470073208,84792,210902,318,1274,131
471072083,277148,905168,12230,2835,718
471072166,278498,949169,30459,8980,342
471072250,633844,2148425,27909,4582,1472
471072333,662705,2042409,68934,16929,1001
472072500,443315,1278346,46861,14647,370
472072791,384395,1031394,43079,12734,263
472073250,114051,280826,289,1464,185
472073583,39522,73881,175,636,36
472073625,367049,1110198,27703,3241,436
473072208,425156,1434922,15364,3879,997
473072291,392671,1250510,28236,9089,436
473072333,425322,1413442,16716,3990,1042
474072333,486424,1612719,19046,3800,1490
474072500,73224,87016,0,0,0
474072666,72876,173318,34792,13241,45
474073291,142308,178361,13979,5174,24
474073750,274651,890798,11771,2037,729
474074125,354696,822679,1287,3956,719
475072166,367653,1235946,13468,3418,1085
475072250,789429,1911822,66126,14759,688
475072375,368909,1233477,14500,3482,780
475072416,2079924,6934241,130376,27956,4472
476072208,13359,37219,89,397,8
476072291,16702,26091,0,0,0
476072375,648531,1532556,44927,13481,366
476072416,392899,1346920,16839,2980,781
477072208,1310714,4179743,100526,20340,2936
477072250,169596,559508,7268,1669,482
477072291,760958,2561996,30341,6040,1716
477072333,48604,156667,41,106,22
478072125,326531,923738,42066,11816,250
478072166,174044,390518,19855,1207,118
478072208,319934,1049828,28108,3245,474
478072250,323179,1058678,13583,2522,943
478072791,259274,678132,660,3036,305
478072875,100411,108754,11226,4091,17
479072208,403036,1366223,17461,3184,830
479072375,283871,894507,16474,2795,449
479073125,1294781,3050719,18809,16174,1913
479073208,72980,84618,0,0,0
479073250,1284184,3533528,2713,12716,2615
479073333,72227,222865,2156,790,125
479073791,866222,2388943,1675,8814,1678
480072166,617065,1526787,64873,11935,548
480072291,1411722,4299484,95712,19509,2735
480072333,83255,88201,0,0,0
480072375,114827,147612,0,0,0
481072208,114907,356294,4368,1397,250
481072375,1332766,3905094,89579,18332,2293
481072666,1669976,5370285,107351,23970,3670
481072791,1375474,4692436,59233,10967,3838
481073125,174310,447782,498,2049,317
482072541,33166,106509,7,36,15
482072833,38249,48396,0,0,0
482072958,263221,339129,0,0,0
482073250,34252,95397,2030,812,81
482073541,16477,15959,1025,393,0
483072125,37377,108455,1515,607,98
483072208,321737,652449,35956,12345,71
483072250,318156,1091031,13889,3115,755
483072333,102794,308693,3672,1592,246
483072666,133735,343449,434,1733,326
483072916,195499,547496,507,2572,422
484072250,251023,796964,10358,2556,739
484072291,348515,1115815,29812,3108,864
484072375,277393,943810,8490,2769,299
484072500,350142,488159,15731,4554,6
484072833,101230,275203,367,1526,153
485072166,161923,552368,8008,1720,409
485072208,36330,125524,1631,598,23
485072458,353413,1215835,14113,3435,1071
485072500,133087,439548,2736,1570,431
485072833,109600,295961,459,1564,124
485073083,123037,281605,321,1513,165
486072083,64717,203519,1929,880,185
486072125,454239,1528062,18067,3537,1163
486072208,565597,1212593,40656,12579,279
486072291,63236,72542,0,0,0
487072208,153256,305076,35454,11831,65
487072291,147813,471117,4256,1248,438
487072333,73073,225662,43,88,23
487072416,283380,961256,11873,2265,505
487073166,110978,255316,523,1451,316
488072125,59065,67161,0,0,0
488072250,775611,2707059,35402,6766,2306
489072166,615621,2080784,39993,5996,1233
489072250,1001812,2859573,74978,20838,1444
489072333,912515,2737957,80716,18037,1511
489072375,961083,2148417,66254,21051,903
490072125,397405,1347247,19058,3198,728
490072208,486236,1680905,21203,4803,1376
490072250,34630,50660,0,0,0
491072208,195471,601599,7966,1693,592
491072333,175562,599448,8072,1422,558
491072416,261411,488605,35713,12718,75
492072166,1763661,5173777,108545,22806,3510
493072250,30829,73993,728,892,93
493072375,943178,3091528,35896,8328,2621
493072416,943257,3037952,50974,7589,2057
494072250,53380,151902,41,107,23
494072458,102038,129347,0,0,0
495072250,721487,1533265,59668,12858,372
495072333,610989,1878440,24472,4217,1692
495072375,71083,113087,12460,4033,5
495072833,467907,1087285,11498,4350,768
495073000,874529,2577642,78036,16602,1271
495073041,473091,1288445,985,5579,822
