approach,data_set,mean,median,std
1,URLs,0.0747,0.0752,0.001
1,wiki,10.2721,10.3097,0.1243
2,URLs,0.0837,0.0839,0.0005
2,wiki,10.9831,11.0712,0.2912
3,URLs,0.0383,0.0382,0.0003
3,wiki,4.785,4.7738,0.0744
